"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,9,0,NA,9,0,NA,NA,NA,NA,NA,1774.89177489177,1774.89177489177,NA,NA,3003.663003663,880.77336197637,3003.663003663,880.77336197637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0377747541329011,0.0639265069941403,0.0187453667125674,NA,NA,NA
2020-03-14,11,0,NA,10,0,NA,1,0,NA,NA,2207.79220779221,2207.79220779221,432.900432900433,0,3736.26373626374,1095.59613319012,3736.26373626374,1095.59613319012,26.1278716519592,10.2926451259304,732.600732600732,214.822771213749,NA,NA,NA,NA,12.9657107445813,0.0563414634146341,0.0469881087994623,0.0795183379683208,0.0233174073741693,24.390243902439,12.9657107445813,0.0563414634146341
2020-03-15,11,0,NA,10.3333333333333,0,NA,0.333333333333334,0,NA,NA,2210.20597851799,2210.20597851799,2.41377072578416,0,3739.30437864976,1096.79394422697,3739.30437864976,1096.79394422697,27.8285408196335,10.9625957615066,3.04064238602859,1.19781103685523,NA,NA,NA,NA,13.8096518353068,0.0150980392156863,0.0470394807180151,0.0795830515019363,0.0233429002059323,0.109329615226694,13.8096518353068,0.0150980392156863
2020-03-16,13,0,NA,11,0,NA,0.666666666666666,0,NA,NA,2214.7669793529,2214.7669793529,4.56100083490765,0,3745.04990050617,1099.05729802475,3745.04990050617,1099.05729802475,29.4548146791023,11.6032395895252,5.7455218564005,2.26335379777379,NA,NA,NA,NA,14.6166749535395,0.0301631085438986,0.0471365518113492,0.0797053325776396,0.0233910708236771,0.206360894832342,14.6166749535395,0.0301631085438986
2020-03-17,16,0,NA,12,0,NA,1,0,NA,NA,2221.2654885144,2221.2654885144,6.49850916150081,0,3753.23611396521,1102.28212211993,3753.23611396521,1102.28212211993,31.0094433210903,12.2156599629768,8.18621345904194,3.22482409518102,NA,NA,NA,NA,15.3881448059546,0.0451515044554084,0.0472748586023766,0.0798795585248603,0.0234597042688485,0.293417285975589,15.3881448059546,0.0451515044554084
2020-03-18,23,1,NA,13.8333333333333,0.166666666666667,NA,1.83333333333333,0.166666666666667,NA,NA,2232.46805886692,2232.63472553359,11.3692370191875,0,3767.39134772101,1107.7573324703,3767.55801438767,1107.92399913697,32.4950956533813,12.8009082541684,14.321900422467,5.64187701704009,NA,NA,NA,NA,16.1253858129561,0.0825356189720911,0.0475168283602818,0.0801843693729514,0.0235797794870571,0.511836026714273,16.1253858129561,0.0825356189720911
2020-03-19,30,1,NA,16.1428571428571,0.285714285714286,NA,2.30952380952381,0.119047619047619,NA,NA,2246.0719292192,2246.35764350492,13.7229179713272,0,3784.55914743915,1114.44815391973,3784.84486172487,1114.73386820545,33.914364377639,13.3600058152597,17.2868473371914,6.80986906847829,NA,NA,NA,NA,16.8296845783773,0.103451760163469,0.047808891155144,0.080552282739351,0.0237247129040564,0.61469716965591,16.8296845783773,0.103451760163469
2020-03-20,55,1,NA,22.7142857142857,0.428571428571429,NA,6.57142857142857,0.142857142857143,NA,NA,2283.47518140767,2283.90375283625,37.5461093313311,0,3831.71336381028,1132.93720065558,3832.14193523885,1133.36577208415,35.2697642399231,13.893943289083,47.297073513982,18.6319038787055,NA,NA,NA,NA,17.5022890213152,0.292574891116144,0.048607979341084,0.0815588992263226,0.0241212529061018,1.6716343249249,17.5022890213152,0.292574891116144
2020-03-21,68,2,NA,30.8571428571429,0.714285714285714,NA,8.14285714285714,0.285714285714286,NA,NA,2328.0675174807,2328.78180319499,44.8780503587427,0,3887.96081593737,1154.9217970742,3888.67510165166,1155.63608278849,36.5637338920056,14.4036813423778,56.5331664128089,22.2703107043385,NA,NA,NA,NA,18.1444092997922,0.356600449472366,0.0495631121228384,0.0827620860863938,0.0245952285722356,1.96533996621225,18.1444092997922,0.356600449472366
2020-03-22,74,2,NA,39.8571428571429,1,NA,9,0.285714285714286,NA,NA,2375.76332708586,2376.76332708586,47.981523890875,0,3948.11773347678,1178.44646306517,3949.11773347678,1179.44646306517,37.7986403216609,14.8901524110314,60.4426318251271,23.8103802766748,NA,NA,NA,NA,18.7572200092452,0.386588256784135,0.0505842956640209,0.0840484775095998,0.0251019813069578,2.06100224888657,18.7572200092452,0.386588256784135
2020-03-23,78,2,NA,49.1428571428571,1.28571428571429,NA,9.28571428571429,0.285714285714286,NA,NA,2423.48599706874,2424.77171135445,48.0083842685881,0,4008.3084872054,1201.98445826612,4009.59420149112,1203.27017255183,38.9767776966504,15.3542602446847,60.4764680143339,23.8237094866681,NA,NA,NA,NA,19.3418596088641,0.390853566593785,0.0516060508705739,0.0853355890633209,0.0256090177252472,2.02075618060304,19.3418596088641,0.390853566593785
2020-03-24,134,4,NA,66,1.85714285714286,NA,16.8571428571429,0.571428571428571,NA,NA,2507.62625138165,2509.48339423879,84.7116828843364,0,4114.44890612573,1243.45040616361,4116.30604898287,1245.30754902075,40.1003684652075,15.7968803402508,106.711847491751,42.0373764689186,NA,NA,NA,NA,19.899430967697,0.69557741939117,0.0534089568496358,0.0876067212298522,0.0265036928727516,3.49544759023972,19.899430967697,0.69557741939117
2020-03-25,185,5,NA,89.1428571428571,2.42857142857143,NA,23.1428571428571,0.571428571428571,NA,NA,2595.24219696842,2622.75662698285,113.273232744061,25.0858585858586,4214.00011559298,1286.72509308923,4258.99706308993,1301.51832617194,41.1715658735878,16.2188609336624,142.691014107063,56.2107771511885,NA,NA,NA,NA,20.4310026139609,0.922903196930377,0.0558197339895584,0.0906435925766684,0.0277000183707583,4.51714974197811,20.4310026139609,0.922903196930377
2020-03-26,203,6,NA,113.857142857143,3.14285714285714,NA,24.7142857142857,0.714285714285714,NA,NA,2694.6471982041,2740.79438435129,118.03775736844,17.9184704184704,4331.5727631525,1335.75403391009,4407.68997926972,1360.09345388861,42.1924572385567,16.6210242890141,148.692916179786,58.5751277166694,NA,NA,NA,NA,20.937610358983,0.952295911249902,0.0583319137889514,0.0938082015006903,0.0289466639854947,4.54823667349134,20.937610358983,0.952295911249902
2020-03-27,229,10,NA,138.714285714286,4.42857142857143,NA,24.8571428571429,1.28571428571429,NA,NA,2787.90434377303,2856.8394087081,116.045024356806,21.5021645021645,4439.98252706861,1381.45629089489,4553.87263695872,1417.67970657695,43.1650640503926,17.0041667391394,146.182657689001,57.58625268834,NA,NA,NA,NA,21.4202573483151,0.922466574869625,0.060801682552003,0.0969193849715995,0.0301722635220466,4.30650158707776,21.4202573483151,0.922466574869625
2020-03-28,445,11,NA,192.571428571429,5.71428571428571,NA,53.8571428571429,1.28571428571429,NA,NA,2989.76307802,3102.9881862451,246.148777537009,43.004329004329,4675.79763959695,1481.12303119789,4863.94782274714,1539.82872400133,44.0913435021977,17.3690592880568,310.075185788419,122.14901742438,2.47191011235955,NA,0.354496999014069,NA,21.8799148206395,1.93181826978173,0.0660404298847194,0.103518668416127,0.03277194264956,8.8291686939259,21.8799148206395,1.93181826978173
2020-03-29,526,13,NA,257.142857142857,7.28571428571429,NA,64.5714285714286,1.57142857142857,NA,NA,3234.51794128959,3392.31880709045,289.330620845348,43.004329004329,4965.72348140716,1601.93264111256,5228.41945210313,1683.40632532308,44.9731907881137,17.7164485163148,364.471629355994,143.577601321751,2.47148288973384,NA,0.383218699045268,NA,22.3175232482369,2.15974867232959,0.0721982098801893,0.111275663170458,0.0358276830984398,9.6773762099223,22.3175232482369,2.15974867232959
2020-03-30,563,17,NA,326.428571428571,9.42857142857143,NA,69.2857142857143,2.14285714285714,NA,NA,3494.13778181594,3697.08583376399,304.767026673535,43.004329004329,5274.52323357053,1729.83099376903,5612.33642038372,1834.64409795807,45.8124402909157,18.0470570488244,383.916968280585,151.237772634987,3.01953818827709,NA,0.459821620713966,NA,22.7339929263191,2.14206306985191,0.0786845205743217,0.119446510142315,0.0390464538188363,9.42233223637726,22.7339929263191,2.14206306985191
2020-03-31,680,20,NA,404.428571428571,11.7142857142857,NA,78,2.28571428571428,NA,NA,3743.06480745857,4034.30723170099,337.221397937006,86.008658008658,5551.08874819517,1852.49510316419,6037.13636724279,2001.98704731027,46.610867265066,18.3615842178709,424.799946859076,167.342949352199,2.94117647058824,130.15873015873,0.495748064075114,1.12682926829268,23.1302048082283,2.23229290230599,0.0858615527605238,0.128487463385365,0.0426079885879291,9.65106183539646,23.1302048082283,2.23229290230599
2020-04-01,847,25,NA,499,14.5714285714286,NA,94.5714285714286,2.85714285714286,NA,NA,4056.51058337713,4436.61880848535,402.311576784357,86.008658008658,5909.07734789597,2006.88817349112,6543.93082774945,2201.63038616566,47.3701898163145,18.6607068429444,506.794460506657,199.643338855396,2.95159386068477,132.467532467532,0.563492179048281,1.13235294117647,23.5070114877951,2.52654800612993,0.0944238894127264,0.139273493504143,0.0468569676784958,10.7481862452046,23.5070114877951,2.52654800612993
2020-04-02,955,29,NA,606.428571428571,17.8571428571429,NA,107.428571428571,3.28571428571429,NA,NA,4395.86070809262,4886.76546999738,450.146661512031,107.510822510823,6290.4083581578,2173.99210218989,7110.98344973289,2425.0114362393,48.092070206115,18.9450797445935,567.052621983441,223.381050073639,3.03664921465969,162.337662337662,0.59343957016246,1.31209490345535,23.8652378466435,2.64825812379821,0.104004292963473,0.151341988991508,0.0516111528991668,11.0968935556745,23.8652378466435,2.64825812379821
2020-04-03,1106,31,NA,731.714285714286,20.8571428571429,NA,125.285714285714,3,NA,NA,4716.92926856519,5404.35351098943,517.588040992051,193.519480519481,6611.03270084467,2332.45577022247,7762.99240780437,2681.85963703235,48.7781163733599,19.2153363438879,652.008958071483,256.848200793048,2.80289330922242,160.43956043956,0.573611625090093,1.39969578240043,24.2056818093365,2.8500263326946,0.115020041228911,0.165218597375194,0.0570776144444219,11.7744413520472,24.2056818093365,2.8500263326946
2020-04-04,1284,36,NA,851.571428571429,24.4285714285714,NA,119.857142857143,3.57142857142857,NA,NA,5008.4705098843,5892.98566139945,488.632150410016,193.51948051948,6894.60969482053,2475.97892112411,8378.52544573628,2924.33874926589,49.4298835693953,19.4720893065048,615.533037931909,242.479112233542,2.80373831775701,152.678571428571,0.610895767756727,1.62069775927942,24.5291151547375,2.54093583451826,0.12541952563933,0.17831889424821,0.0622382608435775,10.359115487832,24.5291151547375,2.54093583451826
2020-04-05,1395,47,NA,975.714285714286,29.2857142857143,NA,124.142857142857,4.85714285714286,NA,NA,5266.93428235307,6392.83038624918,499.844724849729,236.52380952381,7118.05116710773,2602.58392958874,9008.1830352396,3172.3819961838,50.0488760268254,19.7159312001279,629.657589503313,248.04324691791,3.36917562724014,127.329192546584,0.735198607820033,2.10513611843815,24.8362843441389,2.47858556411354,0.136057645581588,0.191719801823463,0.0675173278825928,9.97998738064399,24.8362843441389,2.47858556411354
2020-04-06,1809,54,NA,1153.71428571429,34.5714285714286,NA,178,5.28571428571428,NA,NA,5647.49173424789,7101.20601996217,708.375633712994,322.532467532468,7457.80306659052,2789.84874459992,9900.5283413158,3523.90674674815,50.6365482698548,19.9474350106347,892.345306076204,351.524750564343,2.98507462686567,115.238095238095,0.76043421143114,2.40389147988677,25.1279111715069,3.37946199639972,0.151133897427354,0.210711452478181,0.0749987761669577,13.4494868501856,25.1279111715069,3.37946199639972
2020-04-07,2146,58,NA,1363.14285714286,40,NA,209.428571428571,5.42857142857143,NA,NA,6122.39813683006,7925.57562600755,824.369606045377,344.034632034632,7907.04327657135,3023.93333965144,10938.9919945201,3932.99241591352,51.1943065265161,20.1671546984204,1038.46365320426,409.085669165375,2.7027027027027,72.7272727272727,0.731808044448843,2.53951156776958,25.4046934642862,3.70820274215039,0.16867883150363,0.232812917891833,0.0837052848063127,14.5970927420076,25.4046934642862,3.70820274215039
2020-04-08,2341,63,NA,1576.57142857143,45.4285714285714,NA,213.428571428572,5.42857142857143,NA,NA,6518.4454581484,8757.09480879774,831.519182790196,430.04329004329,8219.34113605179,3219.17271929598,11986.4620151727,4345.62599534324,51.7235101717946,20.375625766893,1047.47002065261,412.63357942972,2.6911576249466,66.8067226890756,0.719416671573631,2.70527706432465,25.6673057995371,3.48587547963652,0.18637592894418,0.255106064466446,0.0924873030850818,13.5815927714352,25.6673057995371,3.48587547963652
2020-04-09,3047,71,NA,1875.42857142857,51.4285714285714,NA,298.857142857143,6,NA,NA,7171.0540644974,9910.25319869653,1153.15838989878,494.549783549784,8826.77699013868,3541.65625971836,13439.1029974647,4917.87000837572,52.225473058847,20.5733657868855,1452.64098229202,572.24401303248,2.33016081391533,69.4980694980695,0.716429727641454,2.98725578566767,25.9164001645406,4.58456624853776,0.210918425152083,0.286022403550164,0.104666286165695,17.6906963063912,25.9164001645406,4.58456624853776
2020-04-10,3261,74,NA,2183.28571428571,57.5714285714286,NA,307.857142857143,6.14285714285714,NA,NA,7890.5223835741,11087.4098294615,1177.15663076502,451.545454545455,9537.27508321388,3897.10240731604,14921.9747169135,5502.02292289069,52.7014648403767,20.7608749171891,1482.87171944883,584.15291451497,2.26924256363079,73.8095238095238,0.667423691720736,3.05183369030086,26.1526066125177,4.29281884567595,0.23597167230332,0.317582138856407,0.117098724601648,16.4153919378869,26.1526066125177,4.29281884567595
2020-04-11,3561,79,NA,2508.57142857143,63.7142857142857,NA,325.285714285714,6.14285714285715,NA,NA,8580.06445728657,12320.648872871,1233.23904340944,537.554112554112,10172.4718314218,4237.98579942685,16475.4938094437,6114.00620759012,53.1527122420475,20.9386364061945,1553.51909253021,611.983284699424,2.21847795563044,47.5479744136461,0.641199995350498,3.14805828886401,26.3765338945499,4.12224486611559,0.262218512990115,0.350645451555952,0.130123472611636,15.6293713325839,26.3765338945499,4.12224486611559
2020-04-12,3629,86,NA,2827.71428571429,69.2857142857143,NA,319.142857142857,5.57142857142858,NA,NA,9043.7113501292,13520.9407873586,1200.29191448765,731.073593073594,10438.3516842714,4467.70638427464,17987.5091934289,6709.63978921556,53.5804002641921,21.1071170652847,1512.01538398514,595.633581625447,2.36979884265638,37.4517374517375,0.636050415074707,3.27899276338621,26.5887700559149,3.7193532626743,0.287764144897865,0.38282544708198,0.142800252355332,13.9893111580101,26.5887700559149,3.7193532626743
2020-04-13,3744,92,NA,3104.14285714286,74.7142857142857,NA,276.428571428572,5.42857142857142,NA,NA,9274.54210178609,14552.7801970242,1031.83940966556,795.580086580087,10382.7121605485,4582.18200969407,19287.3238821602,7221.68039852328,53.985673480528,21.2667677804426,1299.81468873131,512.040609307722,2.45726495726496,36.8050668543279,0.632181608974019,3.35669105735472,26.7898830805627,3.05637806426145,0.30972462753469,0.410489207193862,0.153697935468343,11.4094686320436,26.7898830805627,3.05637806426145
2020-04-14,3907,98,NA,3355.71428571429,80.4285714285714,NA,251.571428571428,5.71428571428572,NA,NA,9384.16772401923,15485.2023560539,932.422159029677,817.082251082251,10165.0631980251,4636.43876315455,20461.9020258639,7684.3861315756,54.3696372447978,21.4180239875876,1174.57814370374,462.705733052319,2.50831840286665,35.1216469120399,0.632862249692768,3.43036432854015,26.9804214898996,2.71229923348088,0.329569227810424,0.435487576793605,0.163545631845774,10.0535654353233,26.9804214898996,2.71229923348088
2020-04-15,4097,105,NA,3606.57142857143,86.4285714285714,NA,250.857142857143,6,NA,NA,9484.68154344075,16408.7984265576,923.596070503765,817.082251082252,9936.01024117888,4686.0299388503,21625.3618895305,8142.7120011489,54.7333588415358,21.5613061259006,1163.45986366661,458.325869573297,2.56285086648767,19.422150882825,0.639900602533197,3.38383499058884,27.1609149138448,2.67299036218108,0.349225983774331,0.460249317715068,0.173300112248916,9.84206695432112,27.1609149138448,2.67299036218108
2020-04-16,4306,112,NA,3786.42857142857,92.2857142857143,NA,179.857142857143,5.85714285714286,NA,NA,9233.78254674908,17066.847481814,658.049055256386,903.090909090909,9233.78254674908,4561.59563544369,22454.3104835809,8469.26266014831,55.0778685941859,21.6970200743494,828.948594050358,326.550658999411,2.60102183000464,17.5448126018468,0.656243047342775,3.30157648408231,27.3318746407238,1.89613667852797,0.363231142636039,0.477891705702907,0.180250040706606,6.93801950273669,27.3318746407238,1.89613667852797
2020-04-17,4460,119,NA,3957.71428571429,98.7142857142857,NA,171.285714285714,6.42857142857142,NA,NA,8925.75863422211,17689.8452143087,622.997732494674,924.593073593073,8925.75863422211,4408.59773255705,23239.1047026788,8778.41942965695,55.4041609885984,21.8255575942712,784.794219097861,309.156769508636,2.66816143497758,17.5336209083989,0.672702324742475,3.21875134499776,27.4937941747932,1.85482776141023,0.376490309478353,0.494594362783591,0.186829777635874,6.7469396137557,27.4937941747932,1.85482776141023
2020-04-18,4653,124,NA,4113.71428571429,105.142857142857,NA,156,6.42857142857143,NA,NA,8558.99045132756,18254.0986764358,564.253462127097,924.593073593074,8558.99045132756,4226.44853760831,23949.8983895355,9058.42490710348,55.7131958355316,21.9472967873214,710.79368685677,280.005477446528,2.66494734579841,15.4621848739496,0.679299494310675,3.07363799726571,27.6471498131209,1.74758645490043,0.388499230868385,0.509722077689966,0.192789092009875,6.32163029777325,27.6471498131209,1.74758645490043
2020-04-19,4823,131,NA,4284.28571428571,111.571428571429,NA,170.571428571429,6.42857142857143,NA,NA,8327.7115138826,18867.8327260038,613.734049568029,838.584415584417,8327.7115138826,4111.24674480533,24723.0230881373,9362.98466102445,56.0058991299579,22.062602433983,773.124698601732,304.559753920976,2.71615177275555,13.1725417439703,0.694303378148221,2.95269901821299,27.7924010720092,1.9926901788448,0.401561240143196,0.526176374124764,0.199270991349255,7.17063598865021,27.7924010720092,1.9926901788448
2020-04-20,4977,134,NA,4460.42857142857,117.571428571429,NA,176.142857142857,6,NA,NA,8135.28774080753,19498.491204011,630.658478007179,817.082251082249,8135.28774080753,4015.47039339751,25517.467597242,9675.94300349418,56.2831639996607,22.1718263672506,794.444509104731,312.958342469728,2.69238497086598,12.3111443530292,0.687232661224757,2.74210008281964,27.9299911577264,2.11491368894668,0.414983449477623,0.54308441687317,0.205931636582881,7.57301062789997,27.9299911577264,2.11491368894668
2020-04-21,5143,143,NA,4637,124,NA,176.571428571428,6.42857142857143,NA,NA,7898.02861975991,20127.7472344785,629.256030467528,860.086580086581,7898.02861975991,3897.3729563148,26310.1454342317,9988.20539455325,56.5458517026551,22.275307865548,792.677836989726,312.262391059074,2.78047832004667,11.2115732368897,0.710462022073902,2.64601491573817,28.0603474614679,2.17019196956404,0.428375810732441,0.559954859805226,0.212577469987527,7.73489580843106,28.0603474614679,2.17019196956404
2020-04-22,5211,150,NA,4796.14285714286,130.428571428571,NA,159.142857142857,6.42857142857142,NA,NA,7553.16824754231,20692.4063427804,564.659108301887,903.09090909091,7553.16824754231,3726.02334088566,27021.4501161634,10268.4121701016,56.7947926424866,22.3733740526884,711.304681931666,280.206775548304,2.87852619458837,10.1579884290165,0.724903607222729,2.5453990323197,28.1838820631888,2.01472650057463,0.440393365428872,0.575093450142763,0.218541068558688,7.14936771549774,28.1838820631888,2.01472650057463
2020-04-23,5330,154,NA,4942.42857142857,136.428571428571,NA,146.285714285715,6,NA,NA,7182.47203310713,21209.298872934,516.892530153564,881.588744588744,7182.47203310713,3541.99686283082,27672.5829347934,10524.9152301778,57.0307871735545,22.4663402151183,651.132818630045,256.503060076206,2.88930581613508,9.77982590885817,0.726096609428827,2.40894862987841,28.3009921312376,1.93649633846079,0.451394311241962,0.588951411782769,0.224000184526087,6.84338694986376,28.3009921312376,1.93649633846079
2020-04-24,5482,159,NA,5088.42857142857,142.142857142857,NA,146,5.71428571428572,NA,NA,6723.02663305668,21723.1651611952,513.866288261241,967.597402597401,6723.02663305668,3314.36122929344,28591.38709482,10779.916546157,57.2546064867652,22.5545101508059,918.804160026615,255.001315979263,2.90040131338927,7.85753770828398,0.731937536819113,2.23905628921391,28.4120603618534,2.03244463762463,0.462330850004974,0.608506182238229,0.229427339100213,7.1544488567809,28.4120603618534,2.03244463762463
2020-04-25,5482,166,NA,5206.85714285714,148.142857142857,NA,118.428571428572,6,NA,NA,6164.71372757525,22138.4496583112,415.284497115972,967.597402597403,6164.71372757525,3037.51959413509,29618.389614863,10985.997574801,57.4669935451192,22.6381765378005,1027.00252004301,206.081028644016,3.02809193724918,6.90320862734656,0.749826670620905,2.0944850927329,28.5174554434426,1.76127084671976,0.471169287365313,0.630363722082234,0.233813330572261,6.17704673478527,28.5174554434426,1.76127084671976
2020-04-26,5628,171,NA,5321.85714285714,153.857142857143,NA,115,5.71428571428572,NA,NA,5593.25359759309,22540.3012166407,401.851558329523,967.597402597403,5593.25359759309,2754.2977036391,31181.4191839625,11185.4126338217,57.6686638234698,22.717621225648,1563.02956909942,199.415059020663,3.03837953091684,6.57228290718252,0.758641148387834,1.95270239427129,28.6175324236767,1.86514450378277,0.479721833514075,0.66362944482118,0.238057451217511,6.5185761429928,28.6175324236767,1.86514450378277
2020-04-27,5628,176,NA,5414.85714285714,159.857142857143,NA,93,6,NA,NA,5008.06192711418,22864.2004552527,323.899238612004,903.090909090912,5008.06192711418,2463.90183708566,32228.8955495358,11346.1445868171,57.8603060977201,22.7931155462823,1047.47636557333,160.731952995431,3.1272210376688,5.2463781705659,0.769762320551938,1.77593847978727,28.7126331011243,1.66240796171223,0.486615332191282,0.685922726433784,0.241478285147554,5.79089134723635,28.7126331011243,1.66240796171223
2020-04-28,5827,179,NA,5512.57142857143,165,NA,97.7142857142853,5.14285714285714,NA,NA,4374.57102505869,23203.4498129375,339.249357684766,967.597402597399,4374.57102505869,2150.1856214577,33972.6446983425,11514.4938921344,58.0425832646854,22.8649206369964,1743.74914880675,168.349305317253,3.07190664149648,5.05979760809568,0.771437012354066,1.614443794838,28.8030864320995,1.95073053949607,0.493835525139142,0.723034676749542,0.245061238038973,6.77406475043837,28.8030864320995,1.95073053949607
