"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,559,3,1,559,3,1,NA,NA,NA,NA,58200.4632034632,58203.4632034632,NA,NA,98495.1684981685,28879.9215896885,98498.1684981685,28882.9215896885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.50439222536449,0.853586842924522,0.250299901308694,NA,NA,NA
2020-03-14,689,4,1,624,3.5,1,65,0.5,0,NA,72269.2272727273,72272.7272727273,14069.2640692641,0,122304.192307692,35861.1616541353,122307.692307692,35864.6616541353,44.5182375023845,20.987169108267,23809.5238095238,6981.74006444683,NA,NA,NA,NA,22.0917569560705,0.111682959932409,0.62631671271552,1.05992059074934,0.310803782249807,24.1738008511707,22.0917569560705,0.111682959932409
2020-03-15,886,4,1,711.333333333333,3.66666666666667,1,87.3333333333334,0.166666666666667,0,NA,72664.3815101743,72668.0481768409,395.320904113658,0,122720.152908514,36057.169270713,122723.81957518,36060.8359373797,44.5182375023858,20.9871691082676,416.12726748806,196.174283244371,NA,NA,NA,NA,22.0917569560711,0.120844426637852,0.629742570552569,1.0635267568936,0.31250383200353,0.547011389262277,22.0917569560711,0.120844426637852
2020-03-16,1058,5,1,798,4,1,86.6666666666666,0.333333333333333,0,NA,73056.3513641293,73060.3513641293,392.303187288373,0,123132.770298642,36251.5127070115,123136.770298642,36255.5127070115,44.5182375023869,20.9871691082681,412.950723461443,194.67676963182,NA,NA,NA,NA,22.0917569560717,0.119269805736298,0.633142276803076,1.06710539505203,0.314190904278218,0.539883749280167,22.0917569560717,0.119269805736298
2020-03-17,1243,10,1,887,5.2,1,89,1.2,0,NA,73458.0165603062,73463.2165603062,402.865196176877,0,123555.638926196,36450.2307742873,123560.838926196,36455.4307742873,44.518237502388,20.9871691082686,424.068627554618,199.91806727575,NA,NA,NA,NA,22.0917569560722,0.121823768006706,0.636633513606481,1.07078038116088,0.315923397729532,0.551444451651995,22.0917569560722,0.121823768006706
2020-03-18,1486,14,31,986.833333333333,6.66666666666667,6,99.8333333333334,1.46666666666667,5,NA,73908.4529882274,73915.1196548941,451.903094587906,0,124029.859727517,36673.0167711003,124036.526394184,36679.683437767,44.5182375023891,20.9871691082691,475.687467987271,224.25266347971,0.942126514131898,NA,0.0189406444383305,NA,22.0917569560728,0.135905293946204,0.640549713691199,1.07490269703953,0.317866775215181,0.615185538282144,22.0917569560728,0.135905293946204
2020-03-19,1795,21,31,1102.28571428571,8.71428571428571,9.57142857142857,115.452380952381,2.04761904761905,3.57142857142857,NA,74429.0092579603,74437.7235436746,522.603888780533,0,124577.92146508,36930.3064201694,124586.635750795,36939.0207058837,44.5182375023901,20.9871691082696,550.109356611079,259.337268116658,1.16991643454039,NA,0.0282115021796425,NA,22.0917569560733,0.156209981787568,0.645078608089195,1.07966995430058,0.32011419649539,0.707096235479015,22.0917569560733,0.156209981787568
2020-03-20,2257,37,31,1344.85714285714,13.5714285714286,13.8571428571429,242.571428571429,4.85714285714286,4.28571428571429,NA,75070.6244825614,75535.7413656783,1098.01782200368,451.545454545455,124962.641786681,37247.7663919907,125742.443984483,37483.9017303366,44.5182375023912,20.9871691082701,1155.80823368809,544.881024452952,1.63934426229508,NA,0.0489834339758158,NA,22.0917569560738,0.325909791074496,0.654594049649679,1.08968620857477,0.324836144938938,1.47525519008066,22.0917569560738,0.325909791074496
2020-03-21,2815,67,263,1648.57142857143,22.5714285714286,51.2857142857143,303.714285714286,9,37.4285714285714,NA,76361.1524719274,76910.5269308018,1374.78556512354,75.2575757575758,126273.079358606,37883.8968228039,127189.586684613,38166.1261461122,44.5182375023922,20.9871691082706,1447.14270013006,682.224415775592,2.38010657193606,NA,0.0871142126750496,NA,22.0917569560743,0.404571412330331,0.66650796529019,1.10222717240689,0.330748313602651,1.83132293703365,22.0917569560743,0.404571412330331
2020-03-22,3401,75,263,2007.85714285714,32.7142857142857,88.7142857142857,359.285714285714,10.1428571428571,37.4285714285714,NA,77952.2575738307,78536.8607484338,1626.333817632,25.0858585858585,127932.298459744,38668.4421759145,128901.517018962,38973.1790180198,44.5182375023933,20.9871691082711,1711.93033434947,807.05287190761,2.20523375477801,NA,0.0954965595584945,NA,22.0917569560748,0.470508501581113,0.680601802466053,1.11706279048674,0.337742247840297,2.12979213249811,22.0917569560748,0.470508501581113
