"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-11,1908,3,25,1908,3,25,NA,NA,NA,NA,44607.3896103896,44610.3896103896,NA,NA,75491.5054945055,22134.4865735768,75494.5054945055,22137.4865735768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0534147120222495,0.0903941280376529,0.0265065488230712,NA,NA,NA
2020-03-12,2078,3,25,1993,3,25,85,0,0,NA,55906.0909090909,55909.0909090909,11298.7012987013,0,94612.3846153846,27741.3609022556,94615.3846153846,27744.3609022556,2.14872362986655,0.825183942141041,19120.8791208791,5606.87432867884,NA,NA,NA,NA,1.06628390655032,0.190551387880815,0.0669433290409851,0.113288710684744,0.0332199978699625,25.3292142790388,1.06628390655032,0.190551387880815
2020-03-13,3675,7,46,2553.66666666667,4.33333333333333,32,560.666666666667,1.33333333333333,7,NA,189932.303472236,189936.63680557,134027.545896479,0,245426.19915871,94252.1205200571,245430.532492043,94256.4538533904,2.97429205609944,1.14223067583771,150815.147876659,66512.0929511348,NA,NA,NA,NA,1.47596447896664,1.00287224084111,0.227422599220726,0.293868789961804,0.112858941219485,239.736929763917,1.47596447896664,1.00287224084111
2020-03-14,4585,9,46,3061.5,5.5,35.5,507.833333333333,1.16666666666667,3.5,NA,216852.945665214,216858.445665214,26921.8088596447,0,280212.78108514,107610.64847547,280218.28108514,107616.14847547,3.80123459180008,1.45980511493667,34787.7485930966,13359.6946220793,NA,NA,NA,NA,1.88632694029177,0.256308309765862,0.259657705883436,0.335522261030569,0.128855309939326,14.1744233958496,1.88632694029177,0.256308309765862
2020-03-15,5795,11,46,3608.2,6.6,37.6,546.7,1.1,2.1,NA,240648.779405955,240655.379405955,23796.9337407407,0,310961.537180448,119418.55318892,310968.137180448,119425.15318892,4.62951800990746,1.77789449910114,30749.8560953081,11809.0047134502,0.189818809318378,NA,0.00457085149193545,NA,2.29735480190896,0.242033695260104,0.288151210958724,0.372340919697337,0.142994944036838,10.973765501659,2.29735480190896,0.242033695260104
2020-03-16,7272,17,67,4218.83333333333,8.33333333333333,42.5,610.633333333333,1.73333333333333,4.9,NA,263187.698741123,263196.032074456,22540.6526685013,0,340086.322137331,130602.406894091,340094.655470664,130610.740227424,5.45910850482265,2.09648584581583,29126.5182902158,11185.5870385044,0.233773377337734,NA,0.00645906394029178,NA,2.70903128810748,0.244045677959303,0.315140494881076,0.407215858030544,0.156388122524621,9.36661832407512,2.70903128810748,0.244045677959303
2020-03-17,9257,24,67,4938.57142857143,10.5714285714286,46,719.738095238095,2.23809523809524,3.5,NA,286244.090862564,286254.662291135,23058.6302166788,0,369879.921129452,142042.79732743,369890.492558023,142053.368756002,6.28997169173658,2.41556595012877,29795.8370873595,11442.6285285775,0.259263260235497,NA,0.00838414291942285,NA,3.12133933574898,0.2635050244454,0.342749984585344,0.442892212157532,0.170089072302679,8.76128722085898,3.12133933574898,0.2635050244454
2020-03-18,12327,28,105,6427,14.1428571428571,57.4285714285714,1488.42857142857,3.57142857142857,11.4285714285714,NA,327903.246896704,328368.935208392,42114.272917257,451.545454545455,423529.223757206,162715.474113438,424309.59738358,162952.180880355,7.12207259710289,2.73512138099261,54419.1048255564,20898.8121243531,0.227143668370244,NA,0.00852699418178227,NA,3.53426158953978,0.501994025748553,0.393175945433214,0.508051490929863,0.195112481445231,14.7127134713421,3.53426158953978,0.501994025748553
2020-03-19,15320,44,113,8318.71428571429,20,70,1891.71428571429,5.85714285714286,12.5714285714286,NA,375815.817169509,376287.362624055,47918.4274156624,0,485442.467764026,186488.686214443,486228.698533257,186731.250124218,7.95537565543085,3.05513848003291,61919.1011496771,23779.0692438626,0.287206266318538,NA,0.0116931909945538,NA,3.94778040043937,0.558692058557005,0.450551570782394,0.582190967977072,0.223584596280162,14.6135873521124,3.94778040043937,0.558692058557005
2020-03-20,19848,67,180,10629.1428571429,28.5714285714286,89.1428571428571,2310.42857142857,8.57142857142857,19.1428571428571,NA,428575.226552538,429256.030304342,52968.667680287,200.686868686869,553538.255989001,212666.401003157,554673.605195351,213016.453634736,8.78984471436189,3.37560336349781,68444.9066620938,26285.2035105184,0.337565497783152,NA,0.0156084004114042,NA,4.36187782817959,0.59717610864156,0.513974153616905,0.664144185841236,0.255057456934882,14.0943156887928,4.36187782817959,0.59717610864156
2020-03-21,22213,84,233,13147.4285714286,39.2857142857143,115.857142857143,2518.28571428571,10.7142857142857,26.7142857142857,NA,481110.923765279,481978.042812898,52722.0125085564,175.60101010101,621355.74753455,238731.937285599,622799.789659093,239179.256834471,9.62544301946684,3.69650191641952,68126.1844637418,26162.8031997347,0.378156935128078,NA,0.0174281798211726,NA,4.77653563372039,0.572368786278663,0.577101401326979,0.745715778380251,0.286383760309806,12.301693901594,4.77653563372039,0.572368786278663
2020-03-22,24873,94,266,15872.8571428571,51.1428571428571,147.285714285714,2725.42857142857,11.8571428571429,31.4285714285714,NA,533429.022686463,534473.565543605,52495.5227307075,165.566666666667,688896.458637986,264688.883151965,690633.309187436,265229.666610611,10.4621332057693,4.01781978935912,67833.5195283436,26050.4097761406,0.377919832750372,NA,0.0175873992765936,NA,5.19173527504341,0.553100954432585,0.63995745915583,0.826936945527786,0.31757548825495,10.911313823404,5.19173527504341,0.553100954432585
2020-03-23,29056,123,266,18984.8571428571,66.2857142857143,175.714285714286,3112,15.1428571428571,28.4285714285714,NA,588650.505595746,589971.084239325,55497.5186957193,260.892929292929,760151.235050276,292085.269873149,762345.93956798,292769.788670141,11.2998772963794,4.33954239788183,71712.6303805442,27540.1220595299,0.423320484581498,NA,0.0208484794061711,NA,5.60745790647401,0.57075001117518,0.706407987944551,0.912802806229498,0.350550938631308,10.4039181100837,5.60745790647401,0.57075001117518
2020-03-24,32986,157,3243,22374.7142857143,85.2857142857143,629.428571428571,3389.85714285714,19,453.714285714286,NA,644570.115751444,646246.56163889,56275.4773995655,336.867243867244,832278.493480791,319826.406885607,835063.830477128,320695.965424813,12.1386367086217,4.66165492491025,72717.8909091477,27926.1767546715,0.475959497968835,NA,0.0242941331249556,NA,6.02368438172206,0.564416381902949,0.773790013644508,0.999872326036445,0.383988635595196,9.56008308233961,6.02368438172206,0.564416381902949
2020-03-25,37323,206,3547,25945.5714285714,110.714285714286,1121.14285714286,3570.85714285714,25.4285714285714,491.714285714286,NA,699451.822508693,701691.251080121,55444.689441231,537.554112554112,902985.251042618,347049.927317239,906708.196097563,348209.871463318,12.9783722378776,4.98414231451944,71644.3656204354,27513.9060385056,0.551938482972966,NA,0.0293576412250975,NA,6.44039524586407,0.543847341678148,0.840177286778224,1.08565644922063,0.416932695947266,8.60180887793613,6.44039524586407,0.543847341678148
