"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-02-23,155,3,2,155,3,2,NA,NA,NA,NA,80797.8658008658,80800.8658008658,NA,NA,136736.926739927,40093.6702470462,136739.926739927,40096.6702470462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133444662315073,0.2258294285332,0.0662206594946977,NA,NA,NA
2020-02-24,229,7,2,192,5,2,37,2,0,NA,103934.393939394,103939.393939394,23138.5281385281,0,175892.435897436,51573.9473684211,175897.435897436,51578.9473684211,2.01515151515152,0.590970974904997,39157.5091575092,11482.2771213749,NA,NA,NA,NA,1,0.0457932887623419,0.171658523556651,0.290499039865102,0.0851839289829998,28.6375486644106,1,0.0457932887623419
2020-02-25,322,10,2,235.333333333333,6.66666666666667,2,43.3333333333333,1.66666666666667,0,NA,108041.057256646,108047.723923313,4108.32998391896,0,182842.599622405,53611.0008441503,182849.266289071,53617.6675108169,2.12551651559241,0.62333703344479,6951.83039163539,2038.72014239587,NA,NA,NA,NA,1.05476759420375,0.0416929677375151,0.178443533865007,0.301980162621506,0.0885509265796275,3.9528108340292,1.05476759420375,0.0416929677375151
2020-02-26,453,12,3,289.75,8,2.25,54.4166666666667,1.33333333333333,0.25,NA,112943.298489461,112951.298489461,4903.57456614835,0,191138.754278116,56043.0203030409,191146.754278116,56051.0203030409,2.23628348674142,0.655820975438742,8297.48798904489,2433.352792224,2.64900662251656,NA,0.0106240478511362,NA,1.10973466259349,0.0503666521267209,0.1865419106043,0.315683672748369,0.0925696699239382,4.53862141917045,1.10973466259349,0.0503666521267209
2020-02-27,655,17,45,362.8,9.8,10.8,73.05,1.8,8.55,NA,119212.414211419,119222.214211419,6270.91572195756,0,201748.161914778,59153.1032928845,201757.961914778,59162.9032928845,2.34745330201736,0.688423057028963,10611.2076366621,3111.8829898436,2.59541984732824,NA,0.0142590876309792,NA,1.16490163859508,0.0646784602795276,0.196898485656172,0.333208349072002,0.097709022957198,5.55226897551845,1.16490163859508,0.0646784602795276
2020-02-28,888,21,46,450.333333333333,11.6666666666667,16.6666666666667,87.5333333333333,1.86666666666667,5.86666666666667,NA,126383.829537094,126395.496203761,7173.2819923417,0,213884.424355882,62710.9103968536,213896.091022549,62722.5770635203,2.45902683710537,0.721143535022203,12138.1291077702,3559.67377063573,2.36486486486486,NA,0.016614516047428,NA,1.22026895675906,0.0734263279189856,0.208745341301481,0.353254774612974,0.103587913728554,6.01722734984642,1.22026895675906,0.0734263279189856
2020-02-29,1128,29,46,547.142857142857,14.1428571428571,20.8571428571429,96.8095238095238,2.47619047619048,4.19047619047619,NA,133969.275557486,133983.418414628,7587.92221086797,0,226721.702625577,66473.8692884623,226735.845482719,66488.0121456051,2.57100498877602,0.753982672408796,12839.7544601709,3765.43508208486,2.5709219858156,NA,0.0216444694001282,NA,1.27583706209938,0.0765995595687234,0.221276985697443,0.374459952071946,0.109806624481438,6.00387109542436,1.27583706209938,0.0765995595687234
2020-03-01,1694,34,83,767,18.5714285714286,32.4285714285714,219.857142857143,4.42857142857143,11.5714285714286,NA,150023.971854488,150494.088737605,16510.6703229762,451.545454545455,253889.251799524,74440.1417795632,254674.053997326,74681.2771179091,2.68338865641884,0.78694073294713,27938.2085146066,8193.26497230395,2.00708382526564,NA,0.022592249493122,NA,1.33160640092965,0.164109953794451,0.248544773041145,0.420600606184588,0.123338007674553,12.3242215457764,1.33160640092965,0.164109953794451
2020-03-02,2036,52,149,1025.14285714286,25,53.4285714285714,258.142857142857,6.42857142857143,21,NA,168320.365300385,169097.941057961,18603.8523203563,301.030303030303,284852.148289847,83517.3241340258,286154.199571898,83913.2639836498,2.79617877383262,0.820017990486575,31480.1455745724,9231.98686574074,2.55402750491159,NA,0.0307514093161999,NA,1.38757743663874,0.172067434450614,0.279269503104902,0.472590858444771,0.138584866202433,12.4005864465451,1.38757743663874,0.172067434450614
2020-03-03,2502,79,160,1336.57142857143,34.8571428571429,76,311.428571428572,9.85714285714285,22.5714285714286,NA,189630.449153007,190668.740639298,21570.7995813375,250.858585858586,320917.214856589,94088.1269337872,322654.807042181,94617.5705428098,2.90937642440812,0.853214762746415,36500.6074702826,10704.30655916,3.15747402078337,NA,0.0414331157457267,NA,1.44375070684914,0.185020854218915,0.314894221200025,0.532872529809172,0.156263297738358,12.815323649543,1.44375070684914,0.185020854218915
2020-03-04,3089,107,276,1713.14285714286,48.4285714285714,115,376.571428571428,13.5714285714286,39,NA,214518.831291399,215771.381074948,25102.64043565,200.686868686869,363040.039453239,106432.587601102,365131.750075949,107074.519931929,3.02298272882398,0.886531378381121,42476.9430337682,12456.9493891195,3.46390417610877,NA,0.0495895236277111,NA,1.50012676768709,0.198581062286411,0.356351863305094,0.603024269683932,0.176836262993505,13.2376633329574,1.50012676768709,0.198581062286411
2020-03-05,3858,148,414,2170.71428571429,67.1428571428571,167.714285714286,457.571428571429,18.7142857142857,52.7142857142857,NA,243622.75390826,245164.945250251,29393.5641753028,270.927272727273,412299.3325911,120866.614936215,414869.495961063,121660.799898621,3.13699880721001,0.919968165884203,49737.745885114,14586.2799666916,3.83618455158113,NA,0.0603675210780764,NA,1.55670617500647,0.213300386977465,0.404896073899031,0.685167408104125,0.200925871258166,13.7020903938149,1.55670617500647,0.213300386977465
2020-03-06,4636,197,523,2706.14285714286,92.2857142857143,235.857142857143,535.428571428572,25.1428571428572,68.1428571428571,NA,276501.158422492,278349.454237788,33184.5089875371,280.961616161616,467949.943075528,137170.488569128,471022.0151146,138128.300599203,3.2514258305733,0.953525468669644,56152.5191535366,16467.5007005823,4.24935289042278,NA,0.0707743439050205,NA,1.61348950990855,0.219776613856203,0.459701125206859,0.777904705932734,0.228122362884607,13.621268315534,1.61348950990855,0.219776613856203
2020-03-07,5883,233,589,3385.42857142857,121.428571428571,313.428571428571,679.285714285714,29.1428571428571,77.5714285714286,NA,316763.476695123,319013.619552266,40664.1653144777,372.704184704185,536097.429385406,157136.852022714,539831.088726065,158307.510454508,3.36626517666719,0.987203690782613,68809.0736114656,20179.2098553047,3.96056433792283,NA,0.0730376340442813,NA,1.67047745609048,0.245670455738119,0.52685901708005,0.891544621808445,0.261448835543483,14.7066889507722,1.67047745609048,0.245670455738119
2020-03-08,7375,366,622,4197,168.857142857143,390.428571428571,811.571428571428,47.4285714285714,77,NA,363024.371382808,365988.509910947,46974.8903586807,666.5670995671,614406.542065601,180071.724574498,619318.732541792,181618.358301673,3.48151827806698,1.02100325234557,79487.6438157262,23310.8478471649,4.96271186440678,NA,0.100003139467153,NA,1.72767072445429,0.256205620534898,0.604439230102155,1.0228204649826,0.299947287118363,14.8296422456219,1.72767072445429,0.256205620534898
2020-03-09,9172,463,724,5216.42857142857,227.571428571429,472.571428571429,1019.42857142857,58.7142857142857,82.1428571428571,NA,419106.662531358,423097.112747808,57108.6028368613,967.597402597403,709341.112288314,207875.695047784,715953.940127142,209957.965724476,3.5971866378371,1.0549245941529,96635.2075853501,28339.6074228033,5.04797208896642,NA,0.109431141468454,NA,1.78507006088157,0.280813270022425,0.698755524182867,1.18241594104785,0.34675086162458,15.7313412924116,1.78507006088157,0.280813270022425
2020-03-10,10149,631,724,6308.85714285714,306.428571428571,553.142857142857,1092.42857142857,78.8571428571429,80.5714285714286,NA,476829.042036447,482381.998746404,59284.8859985957,1483.64935064935,807062.402419365,236485.123975122,816271.702785666,239377.533212501,3.71327203186531,1.08896823700818,100317.762658524,29419.5674880249,6.21736131638585,NA,0.13080919305443,NA,1.84267634663993,0.260654173933843,0.796666004646869,1.34809324944653,0.395338017343559,14.1455365182032,1.84267634663993,0.260654173933843
2020-03-11,12462,827,1045,7647.85714285714,409.285714285714,663,1339,102.857142857143,109.857142857143,NA,545138.974814002,552837.494294521,70455.4955481173,2042.70562770563,922713.154793409,270338.307587614,935491.594353849,274340.410702544,3.82977631169324,1.12313472390151,119219.891568183,34962.8774900432,6.63617396886535,NA,0.14959187980825,NA,1.9004905005395,0.28081073849706,0.91302502776465,1.54498789919898,0.453080088965916,14.7758398371071,1.9004905005395,0.28081073849706
2020-03-12,15113,1016,1045,9255.71428571429,533.285714285714,753.142857142857,1607.85714285714,124,90.1428571428571,NA,624293.984180084,634933.287210387,82095.7929158661,2816.78354978355,1056726.12783219,309565.198379376,1074408.38790545,315079.676360042,3.94670133815051,1.15742460054687,138916.793551602,40739.2656574975,6.72268907563025,344.055299539171,0.160016811287978,1.25741226895259,1.9585134459995,0.294941365391876,1.04860829478242,1.77441247802803,0.52036201094466,15.059608046531,1.9585134459995,0.294941365391876
2020-03-13,17660,1266,1439,11116.2857142857,686,884,1860.57142857143,152.714285714286,130.857142857143,NA,712612.993271647,727189.391540045,92256.1043296581,3784.38095238095,1206261.03614767,353328.411269067,1230517.75409639,360860.901064985,4.06404905190432,1.19183843607166,156109.366190935,45781.2247049432,7.1687429218573,299.563318777293,0.174094948953925,1.21801749271137,2.01674614605778,0.298024717606244,1.20097157167002,2.03223102302864,0.595970855114448,14.7776699227404,2.01674614605778,0.298024717606244
2020-03-14,21157,1441,1966,13298.2857142857,858.571428571429,1080.71428571429,2182,172.571428571429,196.714285714286,NA,813200.993596645,832336.404852057,105147.013312011,4386.44155844156,1376567.54631098,403172.007563534,1408440.22030366,413039.118197261,4.18182168713898,1.22637688568126,177922.46620727,52178.2171322763,6.81098454412251,266.637089618456,0.173127114421498,1.33366992628438,2.07518970940732,0.306193337886354,1.37462450899671,2.32607445138755,0.682144493186338,14.7551355791698,2.07518970940732,0.306193337886354
2020-03-15,24747,1809,2335,15780,1064.71428571429,1325.42857142857,2481.71428571429,206.142857142857,244.714285714286,NA,922158.5792024,948638.851929673,116302.447077616,7138.71861471861,1561046.57557449,457161.231569827,1605239.13601405,470753.114491417,4.30002156334063,1.26104062959695,196798.915710391,57713.9962941553,7.30997696690508,235.036266162094,0.190694276997007,1.60157521355878,2.13384528707129,0.305174511450216,1.56670092578831,2.65109281091438,0.777460609789687,14.3018082852101,2.13384528707129,0.305174511450216
