"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-28,228,1,16,228,1,16,NA,NA,NA,NA,1730.60173160173,1731.60173160173,NA,NA,2929.40293040293,858.291084854995,2930.40293040293,859.291084854995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00933406167763329,0.0157961043775333,0.00463194038138193,NA,NA,NA
2020-03-29,284,1,20,256,1,18,28,0,2,NA,1925.40692640693,1926.40692640693,194.805194805195,0,3259.07326007326,954.961331901182,3260.07326007326,955.961331901182,99,54.8848685253467,329.670329670329,96.6702470461868,NA,NA,NA,NA,62.4684879403076,1.61793435709122,0.010384143616367,0.0175731661200057,0.0051530336742874,11.2565006291133,62.4684879403076,1.61793435709122
2020-03-30,302,1,21,271.333333333333,1,19,15.3333333333333,0,1,NA,1949.62285155241,1950.62285155241,24.2159251454818,0,3286.63517774854,970.449547389397,3287.63517774854,971.449547389397,99,55.6323167131733,27.5619176752753,15.4882154882155,NA,NA,NA,NA,63.3192134564977,0.796368451937971,0.0105146776385754,0.0177217364493371,0.00523652167040401,1.2577042708926,63.3192134564977,0.796368451937971
2020-03-31,343,2,24,289.25,1.25,20.25,17.9166666666667,0.25,1.25,NA,1977.31218874303,1978.56218874303,27.939337190624,0,3318.18498332786,988.29719048704,3319.43498332786,989.54719048704,99,56.3420635449327,31.7998055793223,18.0976430976431,NA,NA,NA,NA,64.1270282985785,0.918981917765865,0.0106652824178442,0.0178931507770068,0.00533407557890983,1.43306369067109,64.1270282985785,0.918981917765865
2020-04-01,380,3,26,307.4,1.6,21.4,18.15,0.35,1.15,NA,2004.93133487309,2006.53133487309,27.9691461300572,0,3349.66871664398,1006.28052382037,3351.26871664398,1007.88052382037,99,57.0149904183855,31.8337333161198,18.3333333333334,NA,NA,NA,NA,64.892935649884,0.917914215727487,0.0108160478798349,0.0180647479894485,0.00543289995692177,1.41450329843145,64.892935649884,0.917914215727487
2020-04-02,435,3,27,328.666666666667,1.83333333333333,22.3333333333333,21.2666666666667,0.233333333333333,0.933333333333334,NA,2037.107845704,2038.94117903734,32.4098441642486,0,3386.32340023987,1027.52867196852,3388.15673357321,1029.36200530186,99,57.6519651556936,36.8880169292311,21.4814814814816,NA,NA,NA,NA,65.6179232423647,1.06072040831536,0.010990750572071,0.0182635899164917,0.00554869417762263,1.61650644092009,65.6179232423647,1.06072040831536
2020-04-03,464,6,29,348,2.42857142857143,23.2857142857143,19.3333333333333,0.595238095238095,0.952380952380953,NA,2065.67168578716,2068.10025721574,29.1590781783977,0,3418.9162442605,1046.4620534019,3421.34481568907,1048.89062483047,99,58.2538432496245,33.1880821158666,19.5286195286196,NA,NA,NA,NA,66.3029647749848,0.949060727350131,0.01114793026831,0.0184424876386285,0.00565396165098705,1.43139589982388,66.3029647749848,0.949060727350131
2020-04-04,531,6,36,391.285714285714,3.14285714285714,26.1428571428571,43.2857142857143,0.714285714285714,2.85714285714286,NA,1979.09698936415,2132.75499802216,64.6547408064239,150.515151515152,3236.37999714089,1015.28274148575,3494.933110694,1092.61356855342,99,58.821466488409,73.5882950049263,43.7229437229437,NA,NA,NA,NA,66.9490183485717,2.09548608428965,0.0114964465162583,0.0188391595013279,0.00588964670834729,3.12996209665264,66.9490183485717,2.09548608428965
2020-04-05,584,6,42,434.142857142857,3.85714285714286,29.2857142857143,42.8571428571429,0.714285714285714,3.14285714285714,NA,2041.82117210257,2196.19346647486,63.438468452704,0,3307.8696778014,1057.85849906151,3567.1370770688,1135.90361184346,99,59.3556628657761,72.2039663747973,43.2900432900433,NA,NA,NA,NA,67.5570263634201,2.16549964514186,0.0118384065446329,0.0192283692504361,0.00612299825028813,3.20542493842536,67.5570263634201,2.16549964514186
2020-04-06,662,6,46,485.571428571429,4.57142857142857,32.8571428571429,51.4285714285714,0.714285714285714,3.57142857142857,NA,2116.59513597135,2271.68171605793,75.4882495830643,0,3393.0740967395,1109.09226529527,3653.05578172119,1187.85166379151,99,59.8572471927278,85.9187046523907,51.9480519480519,NA,NA,NA,NA,68.1279162155979,2.51877285993128,0.0122453199616651,0.0196915072075378,0.00640302010061713,3.697103870528,68.1279162155979,2.51877285993128
2020-04-07,697,6,51,536.142857142857,5.14285714285714,36.7142857142857,50.5714285714286,0.571428571428572,3.85714285714286,NA,2152.04699313106,2345.33378966785,73.6520736099246,37.6287878787879,3412.47892238463,1141.05609532489,3736.88460004031,1238.93391487376,99,60.3270206898436,83.828818319123,51.0822510822513,NA,NA,NA,NA,68.6625998329177,2.38929563636677,0.0126423356178719,0.0201433797982576,0.00667837492010731,3.47974311941921,68.6625998329177,2.38929563636677
2020-04-08,727,7,54,585.714285714286,5.71428571428571,40.7142857142857,49.5714285714286,0.571428571428571,4,NA,2170.46965983454,2417.00818797307,71.6743983052202,52.6803030303031,3404.0917853046,1164.59102735193,3818.4624812753,1289.00606494591,99,60.76577109013,81.577881234984,50.07215007215,NA,NA,NA,NA,69.1619737919979,2.30346869600974,0.0130286907723388,0.0205831188913074,0.00694828487028554,3.33052198832051,69.1619737919979,2.30346869600974
2020-04-09,781,8,60,635.142857142857,6.42857142857143,45.4285714285714,49.4285714285714,0.714285714285714,4.71428571428572,NA,2205.62577689731,2487.99879277033,70.9906047972577,35.120202020202,3424.5813788658,1196.4940652497,3899.2620870465,1338.93391487376,99,61.1742730138227,80.7996057712085,49.92784992785,NA,NA,NA,NA,69.6269197448519,2.27733585829057,0.0134113599921814,0.0210186627522502,0.00721741698199063,3.27074854401187,69.6269197448519,2.27733585829057
2020-04-10,812,10,64,684.857142857143,7,50.4285714285714,49.7142857142858,0.571428571428571,5,NA,2186.42329934468,2558.96009588148,70.9613031111458,89.5923520923521,3352.74629114101,1201.9795809871,3980.02834242307,1389.15036509022,99,61.5532879201844,80.7662553765604,50.2164502164501,NA,NA,NA,NA,70.0583043640266,2.25399086611843,0.013793871263611,0.0214540268405379,0.007488104770642,3.21728662470422,70.0583043640266,2.25399086611843
