"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-02-22,433,2,16,433,2,16,NA,NA,NA,NA,7314.01731601732,7316.01731601732,NA,NA,12378.9523809524,3628.50483351235,12380.9523809524,3630.50483351235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0142820331297042,0.0241695945271917,0.00708732471098103,NA,NA,NA
2020-02-23,602,6,18,517.5,4,17,84.5,2,1,NA,7983.01298701299,7987.01298701299,670.995670995671,0,13512.4835164835,3959.48012889366,13516.4835164835,3963.48012889366,54.2027563605834,16.7509512476909,1135.53113553114,332.975295381311,NA,NA,NA,NA,26.8976084195376,1.15531583190198,0.0155919237421918,0.0263863324867862,0.00773734561642603,9.17410558389335,26.8976084195376,1.15531583190198
2020-02-24,833,8,18,622.666666666667,5.33333333333333,17.3333333333333,105.166666666667,1.33333333333333,0.333333333333332,NA,8370.0033075272,8375.33664086053,388.323653847547,0,14134.6955225634,4150.84875912377,14140.0288558967,4156.18209245711,54.5747768844307,16.8659213723955,623.5453394132,192.701963563444,NA,NA,NA,NA,27.0822201080634,1.31738062856411,0.0163499934746344,0.0276035924809465,0.00811353059643513,4.86437457234861,27.0822201080634,1.31738062856411
2020-02-25,977,10,22,711.25,6.5,18.5,88.5833333333334,1.16666666666667,1.16666666666667,NA,8693.71368059957,8700.21368059957,324.877039739033,0,14655.1956717203,4310.89927007197,14661.6956717203,4317.39927007197,54.9465848763062,16.9808258157041,521.666815823586,161.217177614859,NA,NA,NA,NA,27.2667263295956,1.05834568347289,0.0169842052929245,0.02862196934153,0.00842825225062419,3.88144458015767,27.2667263295956,1.05834568347289
2020-02-26,1261,12,22,821.2,7.6,19.2,109.95,1.1,0.699999999999999,NA,9093.14375198969,9100.74375198969,400.530071390122,0,15297.2412973746,4508.55855361894,15304.8412973746,4516.15855361894,55.318170823459,17.0956616377733,643.145625654304,198.759283546977,0.951625693893735,NA,0.131857355036246,NA,27.451122363521,1.26471279881602,0.0177661039000413,0.0298774922218147,0.00881626208573479,4.60712287182776,27.451122363521,1.26471279881602
2020-02-27,1766,13,22,978.666666666667,8.5,19.6666666666667,157.466666666667,0.9,0.466666666666669,NA,9662.04423830971,9670.54423830971,569.800486320024,0,16211.2905519974,4790.41668968753,16219.7905519974,4798.91668968753,55.6895263407992,17.2104262472545,914.949254622827,282.758136068584,0.736126840317101,NA,0.13442883543721,NA,27.6354040488177,1.73171944245222,0.0188784453655443,0.03166361915428,0.00936825108365358,6.2662650218781,27.6354040488177,1.73171944245222
2020-02-28,2337,13,22,1172.71428571429,9.14285714285714,20,194.047619047619,0.642857142857142,0.333333333333332,NA,10358.9233837516,10368.0662408944,697.522002584707,0,17330.6840087398,5135.91257066941,17339.8268658827,5145.05542781227,56.0606478485769,17.3251185378531,1120.03631388524,346.138738124741,0.556268720581943,NA,0.125385001387477,NA,27.8195696090682,2.00836856996718,0.0202401196097813,0.0338501087496995,0.0100439691296659,7.21919694611884,27.8195696090682,2.00836856996718
2020-02-29,3150,16,27,1560.85714285714,11.1428571428571,21.5714285714286,388.142857142857,2,1.57142857142857,NA,11441.9384827261,11754.1116428993,1386.04540200483,301.030303030303,19043.4867410449,5673.34863482219,19565.4501110083,5832.86743181467,56.4315328729714,17.4397377450536,2225.62324512561,687.812004002399,0.507936507936508,NA,0.136122579792457,NA,28.0036178166625,3.74698797908684,0.0229459013890791,0.0381948804401017,0.0113866879073626,13.3802070993102,28.0036178166625,3.74698797908684
2020-03-01,3736,17,30,2008.57142857143,12.7142857142857,23.2857142857143,447.714285714286,1.57142857142857,1.71428571428571,NA,12727.6774452177,13342.4523369926,1588.34069409334,301.030303030303,21081.5509137455,6311.60040783091,22115.9062251008,6621.06657324444,56.8021788125958,17.554283064917,2550.45611409253,788.199141429775,0.455032119914347,NA,0.127412859125355,NA,28.1875473806867,3.91299001841683,0.026046595856359,0.0431737777203989,0.0129253783948849,13.8817447453616,28.1875473806867,3.91299001841683
2020-03-02,4335,28,30,2508.85714285714,15.5714285714286,25,500.285714285714,2.85714285714286,1.71428571428572,NA,14287.4812304999,15105.8001338188,1763.3477968262,200.686868686869,23569.6181125445,7084.87074309805,24947.3775753039,7496.11134460181,57.1725848392505,17.6687542414946,2831.4713502031,875.044771357364,0.645905420991926,NA,0.185359264335252,NA,28.3713578901544,3.93077477074446,0.0294889321119506,0.0487012615798033,0.0146336054089379,13.8544349856129,28.3713578901544,3.93077477074446
2020-03-03,5186,28,30,3110.14285714286,18.1428571428571,26.1428571428571,601.285714285715,2.57142857142857,1.14285714285714,NA,16215.015693676,17211.5070356673,2105.70690184853,175.60101010101,26650.2778021972,8040.6839425116,28328.5873260067,8541.04860416574,57.542757594522,17.7831533273183,3381.20975070279,1044.93725956393,0.539915156189742,NA,0.162681861280222,NA,28.5550526408906,4.20858286141476,0.0335996079666681,0.0553019225121238,0.0166734896676699,14.7381254111706,28.5550526408906,4.20858286141476
2020-03-04,5621,35,41,3733,21.4285714285714,28.8571428571429,622.857142857143,3.28571428571428,2.71428571428572,NA,18213.4796302829,19378.8233532267,2167.31631755935,165.566666666667,29846.1790242209,9031.30181438316,31808.7255443674,9616.5589572403,57.9127054497038,17.897482909473,3480.13821836068,1075.51035307457,0.62266500622665,NA,0.180609520826105,NA,28.7386357870711,3.84134200343193,0.0378305552311262,0.0620957075981376,0.0187730574831152,13.3661068142205,28.7386357870711,3.84134200343193
2020-03-05,6088,35,41,4350.42857142857,24.5714285714286,31.5714285714286,617.428571428572,3.14285714285715,2.71428571428572,NA,20209.6707730118,21513.620989462,2134.79763623531,135.463636363636,33041.0887316353,10020.7630474022,35236.6473396939,10675.9322203345,58.282438583091,18.0117461334837,3427.92179532654,1059.37326309421,0.574901445466491,NA,0.162687629465742,NA,28.922112379579,3.39005388878702,0.0419980208410251,0.0687875578948425,0.0208411231241177,11.7209763294536,28.922112379579,3.39005388878702
2020-03-06,6593,42,135,4958.42857142857,28.7142857142857,47.7142857142857,608,4.14285714285714,16.1428571428571,NA,22197.7210584392,23602.573872292,2088.95288283,96.7597402597403,36227.0607830528,11005.5511589677,38590.9545559466,11712.5554554231,58.6519749335978,18.1259485432359,3354.30721625264,1036.62323508857,0.637039284089186,NA,0.177946694403976,NA,29.105491320432,3.0085537330716,0.0460759901773812,0.0753357007874027,0.022864777080505,10.3364023407032,29.105491320432,3.0085537330716
2020-03-07,7041,44,135,5514.28571428571,32.7142857142857,63.1428571428571,555.857142857143,4,15.4285714285714,NA,23790.5407092095,25500.4238260926,1897.84995380063,301.030303030303,38759.6865997895,11794.9654217559,41638.4008855037,12654.345658061,59.0213341888901,18.2400962230536,3047.44632955718,941.790202637905,0.624911234199688,NA,0.17254615178191,NA,29.2887823794492,2.50419794892309,0.0497808961042774,0.0812848022670346,0.0247033018261828,8.54975134070845,29.2887823794492,2.50419794892309
2020-03-08,7314,50,135,6025.42857142857,37.4285714285714,78.1428571428571,511.142857142857,4.71428571428572,15,NA,25283.6366952249,27234.7579073461,1734.33408125347,236.523809523809,41138.4963171916,12534.3170281352,44423.2838629791,13514.9926457507,59.3905357776203,18.3541951772146,2784.88297747538,860.646987689692,0.683620453923981,NA,0.183588927686093,NA,29.4719951979168,2.14858350527633,0.0531665929577017,0.0867213381893285,0.0263834220692354,7.29001539919642,29.4719951979168,2.14858350527633
2020-03-09,7478,53,135,6474.42857142857,41,93.1428571428571,449,3.57142857142857,15,NA,26364.0933965842,28748.8293273202,1514.07141997408,430.04329004329,42836.3805526676,13070.1236833748,46854.4831167702,14266.3363579183,59.7596003970882,18.4682518020628,2431.19925379104,751.343712167589,0.70874565391816,NA,0.184355332860924,NA,29.6551400466754,1.77591146030927,0.0561223019516465,0.0914674270499352,0.0278501648782606,5.98834510329772,29.6551400466754,1.77591146030927
2020-03-10,7513,54,247,6806.85714285714,44.7142857142857,124.142857142857,332.428571428572,3.71428571428572,31,NA,27087.4429979141,29862.9321754033,1114.10284808314,387.038961038961,43964.8522843801,13428.5033996094,48643.4383649662,14819.1994253881,60.1285546075497,18.5822743058439,1788.95524819601,552.863067469831,0.718754159456941,NA,0.180826181711913,NA,29.8382301060021,1.26095706938509,0.0582972084750885,0.0949597531364736,0.028929441799668,4.22583409686862,29.8382301060021,1.26095706938509
2020-03-11,7755,60,288,7111.71428571429,48.2857142857143,159.428571428571,304.857142857142,3.57142857142857,35.2857142857143,NA,27604.7919837559,30878.4023733663,1015.47019796297,494.549783549784,44752.6529612566,13685.0890402741,50274.0155986193,15323.1169672344,60.497426174169,18.6962712691716,1630.57723365312,503.917541846284,0.773694390715667,11.1514351699109,0.194310571105687,0.820118343195266,30.0212791540989,1.12549449757082,0.060279568327871,0.0981429000681504,0.0299131692454097,3.74885956581861,30.0212791540989,1.12549449757082
2020-03-12,7869,66,333,7366.14285714286,52.7142857142857,201.142857142857,254.428571428572,4.42857142857143,41.7142857142857,NA,27969.6745381208,31720.7611182073,842.358744841062,473.04761904762,45298.1123518121,13865.5108878752,51626.6215093213,15741.1295774563,60.8662430766195,18.8102513389521,1352.60591070202,418.01261022188,0.838734273732368,8.75652586616042,0.208065625392944,0.826341463414634,30.2043010756157,0.921714992944495,0.0619239870028483,0.100783402624888,0.0307291965578044,3.05149462939895,30.2043010756157,0.921714992944495
2020-03-13,7979,66,510,7564.14285714286,56.1428571428571,254.714285714286,198,3.42857142857143,53.5714285714286,NA,27994.2709656611,32372.348887739,651.587769531667,623.56277056277,45282.8336293592,13878.0764620144,52672.8995634252,16064.4738841412,61.2350351951486,18.9242237494494,1046.27805410387,323.344306684889,0.82717132472741,6.73983879265992,0.203877698924088,0.788028025978174,30.3873106983444,0.707934762612486,0.063195990294993,0.102825904328496,0.0313604162366131,2.32962227945698,30.3873106983444,0.707934762612486
2020-03-14,8086,72,510,7713.42857142857,60.1428571428571,308.285714285714,149.285714285715,4,53.5714285714286,NA,27876.5457776435,32860.684305782,488.335418043018,602.060606060606,45041.3304510374,13819.6564439004,53457.0374107443,16306.8057457264,61.6038325745267,19.0381977857722,784.137847319151,242.331861585257,0.890427900074202,6.15587074133645,0.21910681874428,0.8275658810605,30.57032293172,0.533291716881466,0.0641492989488187,0.104356666521903,0.0318334866964063,1.74441198573104,30.57032293172,0.533291716881466
2020-03-15,8162,75,510,7834.57142857143,63.7142857142857,361.857142857143,121.142857142857,3.57142857142857,53.5714285714286,NA,27557.3204852441,33254.6018705255,393.917564743431,709.571428571429,44466.2097838993,13661.8196178118,54089.5650952546,16502.2836349976,61.9726648341301,19.1521826015644,632.527684510278,195.477889271175,0.918892428326391,5.0526792794834,0.225532695570999,0.824108468976536,30.7533524740796,0.434585154938524,0.0649182888878831,0.105591461486897,0.0322150907263179,1.4130788221952,30.7533524740796,0.434585154938524
2020-03-16,8236,75,1137,7942.85714285714,66.8571428571429,505,108.285714285715,3.14285714285715,143.142857142857,NA,27366.650234965,33604.6285899433,350.026719417867,537.554112554112,44112.9380059037,13567.4171950095,54651.6156615814,16675.9811047839,62.3415611171138,19.2661872032973,562.050566326805,173.697469786312,0.910636231180185,3.78579517877366,0.223183540919851,0.775550973676214,30.9364137874399,0.392962010452108,0.065601596893738,0.106688673872012,0.0325541759021557,1.27017690128942,30.9364137874399,0.392962010452108
2020-03-17,8320,81,1407,8058.14285714286,70.7142857142857,670.714285714286,115.285714285714,3.85714285714285,165.714285714286,NA,27174.1978968053,33975.0896716971,370.461081753761,559.056277056277,43755.2769575658,13471.842565332,55246.4784227673,16859.8189348271,62.7105499769068,19.3802204151919,594.862761185854,183.83783004322,0.973557692307692,3.02585732624244,0.238409966780682,0.781245008645049,31.1195210411718,0.421279668258595,0.0663247960353378,0.107849940896939,0.0329130566791902,1.35369538680493,31.1195210411718,0.421279668258595
2020-03-18,8413,84,1540,8152.14285714286,74.1428571428571,849.571428571429,94,3.42857142857143,178.857142857143,NA,26933.508911413,34275.3833702875,300.293698590409,537.554112554112,43321.8613545446,13352.4748840739,55728.6708783541,17008.8368604434,63.0796594512011,19.4942909020843,482.192455586832,149.017925616292,0.998454772376085,2.35374149659864,0.245073845250751,0.714643543910399,31.3026881487163,0.345929843465334,0.0669110172492379,0.108791257507892,0.0332039634469902,1.10506922681134,31.3026881487163,0.345929843465334
2020-03-19,8565,91,1540,8251.57142857143,77.7142857142857,1022,99.4285714285725,3.57142857142857,172.428571428571,NA,26579.1577077981,34591.1706948111,315.787324523619,666.5670995671,42694.2584931331,13177.0632234186,56235.7420096166,17165.5433523123,63.448916661205,19.6084070455787,507.071131262506,156.706491868863,1.06246351430239,2.08014683389416,0.263072911879362,0.682033540023959,31.4859285687183,0.36917768091298,0.067527484493091,0.109781141263354,0.0335098795228873,1.17247004674465,31.4859285687183,0.36917768091298
2020-03-20,8652,94,1540,8347.71428571429,81.7142857142857,1169.14285714286,96.1428571428569,4,147.142857142857,NA,26362.6899713109,34894.7549063758,303.584211564696,516.051948051948,42302.0423367517,13069.3552811446,56723.2181609275,17316.1941640662,63.8183465615233,19.7225765577065,487.476151310919,150.650811753909,1.08645399907536,1.88498928983358,0.269381459340254,0.622277530268346,31.6692546846657,0.361737329680521,0.0681201293133445,0.110732772491416,0.0338039739449679,1.14218898470069,31.6692546846657,0.361737329680521
