"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-19,900,2,75,900,2,75,NA,NA,NA,NA,8028.30303030303,8030.30303030303,NA,NA,13587.7435897436,3982.96240601504,13589.7435897436,3984.96240601504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0251341347834974,0.042534689633611,0.0124725781632393,NA,NA,NA
2020-03-20,1030,3,87,965,2.5,81,65,0.5,6,NA,8460.70346320346,8463.20346320346,432.900432900432,0,14319.8443223443,4197.28517722879,14322.3443223443,4199.78517722879,99,55.8272175755856,732.600732600731,214.822771213749,NA,NA,NA,NA,60.0191341677387,0.809635607358814,0.0264890746640094,0.0448276648160159,0.013144954344546,5.39217853718823,60.0191341677387,0.809635607358814
2020-03-21,1183,4,114,1037.66666666667,3,92,72.6666666666667,0.5,11,NA,8581.16323795229,8584.16323795229,120.959774748822,0,14449.3866433631,4270.18585062946,14452.3866433631,4273.18585062946,99,55.8792446162036,130.042321018769,73.4006734006734,NA,NA,NA,NA,60.0750677798154,0.85887263373196,0.0268676680085502,0.0452346857231611,0.0133746919287306,1.4296656923965,60.0750677798154,0.85887263373196
2020-03-22,1306,10,139,1104.75,4.75,103.75,67.0833333333333,1.75,11.75,NA,8690.97513318594,8695.72513318594,111.561895233655,0,14567.5754232059,4336.1967933904,14572.3254232059,4340.9467933904,99,55.9313121421114,119.938779842831,67.7609427609432,NA,NA,NA,NA,60.1310449171143,0.781752277313932,0.0272168468254546,0.0456100834443881,0.0135867776572496,1.30007893032783,60.1310449171143,0.781752277313932
2020-03-23,1518,14,139,1187.4,6.6,110.8,82.6500000000001,1.85,7.05,NA,8826.44699677667,8833.04699677667,137.321863590727,0,14713.3584185967,4417.83164187525,14719.9584185967,4424.43164187525,99,55.9834200892801,147.632995390766,83.484848484849,0.922266139657444,NA,0.158495703748761,NA,60.1870655107986,0.95098930286018,0.0276466520538732,0.0460721615989285,0.0138480778132064,1.5800512771734,60.1870655107986,0.95098930286018
2020-03-24,1624,16,183,1260.16666666667,8.16666666666667,122.833333333333,72.7666666666667,1.56666666666667,12.0333333333333,NA,8945.66865458058,8953.83532124725,120.788324470581,0,14841.6497489273,4489.76665871027,14849.816415594,4497.93332537694,99,56.035568351019,129.857996997265,73.5016835016831,0.985221674876847,NA,0.178694374264762,NA,60.2431294461664,0.82442003575342,0.0280247087742809,0.0464786055882684,0.0140781315500298,1.36848184229386,60.2431294461664,0.82442003575342
2020-03-25,1796,20,199,1336.71428571429,9.85714285714286,133.714285714286,76.547619047619,1.69047619047619,10.8809523809524,NA,9070.92442780832,9080.78157066546,126.946249418212,0,14976.4375768115,4565.39700984062,14986.2947196686,4575.25415269776,99,56.0877566340109,136.478304074657,77.3208273208274,1.11358574610245,NA,0.220245359326866,NA,60.2992364078761,0.855699794122611,0.0284220392524829,0.0469057705503739,0.0143201388675768,1.41908061118729,60.2992364078761,0.855699794122611
2020-03-26,2031,23,215,1498.28571428571,12.8571428571429,153.714285714286,161.571428571428,3,20,NA,9034.59422445167,9348.48167033912,267.700099673661,301.030303030303,14750.4180488292,4577.22453319446,15274.0957045068,4738.45761590123,99,56.1399846016019,287.800984838208,163.203463203463,1.13244707040867,NA,0.246029257060796,NA,60.3553860339955,1.78121413670275,0.0292599167723428,0.0478065620543122,0.0148309512025298,2.95118873279315,60.3553860339955,1.78121413670275
2020-03-27,2161,26,259,1659.85714285714,16.1428571428571,178.285714285714,161.571428571429,3.28571428571428,24.5714285714286,NA,9223.50203236534,9615.93276829608,267.451097956959,75.2575757575758,14906.9604925863,4700.0482971498,15561.6289907548,4901.66107910469,99,56.1922519231735,287.533286247954,163.203463203464,1.2031466913466,NA,0.270384585941808,NA,60.4115779690806,1.78838196594962,0.0300970149389596,0.048706515685455,0.0153417635374828,2.96030005678745,60.4115779690806,1.78838196594962
2020-03-28,2320,27,320,1822.28571428571,19.4285714285714,207.714285714286,162.428571428571,3.28571428571428,29.4285714285714,NA,9413.57863513464,9884.55266110867,268.619892812589,75.2575757575758,15064.7594928816,4823.73786197095,15850.4188335409,5065.73034317395,99,56.2445582786105,288.789842786164,164.069264069265,1.16379310344828,NA,0.273153484286983,NA,60.4678118689799,1.76105139276101,0.0309377713295968,0.0496104022268846,0.0158552857521968,2.91234166664678,60.4678118689799,1.76105139276101
