"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,27,1,0,27,1,0,NA,NA,NA,NA,2379.95238095238,2380.95238095238,NA,NA,4028.30402930403,1180.52524167562,4029.30402930403,1181.52524167562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0560693753109047,0.094886635141531,0.0278239005302234,NA,NA,NA
2020-03-14,36,1,0,31.5,1,0,4.5,0,0,NA,2856.14285714286,2857.14285714286,476.190476190476,0,4834.16483516484,1416.83029001074,4835.16483516484,1417.83029001074,6.9843687281452,2.04850773301976,805.860805860807,236.305048335124,NA,NA,NA,NA,3.46592733877882,0.189079413353608,0.0672832503730856,0.113863962169837,0.0333886806362681,20.0084035294824,3.46592733877882,0.189079413353608
2020-03-15,43,1,0,35.3333333333333,1,0,3.83333333333334,0,0,NA,2951.07155790811,2952.07155790811,94.928700765257,0,4994.77735027214,1463.93776557846,4995.77735027214,1464.93776557846,8.13742041392676,2.38669653530573,160.6125151073,47.1074755677216,NA,NA,NA,NA,4.03811840089599,0.134213641441171,0.0695187394124988,0.117646248393293,0.0344980210618415,3.32366781051767,4.03811840089599,0.134213641441171
2020-03-16,55,1,0,40.25,1,0,4.91666666666666,0,0,NA,3057.90398645419,3058.90398645419,106.832428546078,0,5175.5301142464,1516.95235418028,5176.5301142464,1517.95235418028,9.27417678102761,2.72010593838917,180.752763974269,53.0145886018131,NA,NA,NA,NA,4.60222306426934,0.166607975951916,0.0720345509757395,0.12190282010923,0.0357464689052542,3.62012328233094,4.60222306426934,0.166607975951916
2020-03-17,69,1,0,46,1,0,5.75,0,0,NA,3169.37678667594,3170.37678667594,111.472800221749,0,5364.13405241619,1572.26968361363,5365.13405241619,1573.26968361363,10.3945726572503,3.04871682733563,188.603938169788,55.3173294333494,NA,NA,NA,NA,5.15820898780841,0.18804106580227,0.0746596392902276,0.12634428020686,0.0370491443094363,3.64539896332743,5.15820898780841,0.18804106580227
2020-03-18,86,1,0,52.6666666666667,1,0,6.66666666666666,0,0,NA,3286.21195502184,3287.21195502184,116.835168345896,0,5561.81073069943,1630.24803783039,5562.81073069943,1631.24803783039,11.4985441665736,3.37251046737773,197.676678283235,57.97835421676,NA,NA,NA,NA,5.70604447363805,0.210351969194853,0.0774110067496971,0.130999395510108,0.0384144845524813,3.68637672986913,5.70604447363805,0.210351969194853
2020-03-19,109,1,0,60.7142857142857,1,0,8.04761904761905,0,0,NA,3415.06264572267,3416.06264572267,128.850690700836,0,5779.81680620603,1694.18898208794,5780.81680620603,1695.18898208794,12.5860184597881,3.69146549192176,218.006075506601,63.9409442575577,NA,NA,NA,NA,6.24569337102268,0.24489833686716,0.0804453293988064,0.136133250586515,0.0399202386490317,3.92094887561748,6.24569337102268,0.24489833686716
2020-03-20,137,1,0,76.4285714285714,1,0,15.7142857142857,0,0,NA,3496.42008488083,3647.93523639598,231.872590673305,150.515151515152,5916.71824975865,1735.06560603109,6173.1285061689,1810.2535759559,13.6569253721252,4.00556132171759,392.311699962876,115.064593867956,NA,NA,NA,NA,6.77712086135537,0.460163056553316,0.0859057289493312,0.145371852803028,0.042629910606435,6.78970240747188,6.77712086135537,0.460163056553316
2020-03-21,200,1,0,99.8571428571429,1,0,23.4285714285714,0,0,NA,3817.34646556537,3968.86161708052,320.926380684539,0,6459.70253955198,1894.32230622041,6716.11279596224,1969.51027614522,14.7111998432218,4.31477887463166,542.984289793332,159.25670018932,NA,NA,NA,NA,7.30029465904238,0.670101939234988,0.0934632684573553,0.158158664574614,0.0463802685577853,9.17871345243339,7.30029465904238,0.670101939234988
2020-03-22,313,3,0,138.428571428571,1.28571428571429,0,38.5714285714286,0.285714285714286,0,NA,4310.60553695235,4462.40640275322,493.544785672701,0,7294.45900646083,2138.95355324596,7551.1549771568,2214.42723745648,15.7487780204851,4.61909942276815,835.042181194561,244.916961311265,NA,NA,NA,NA,7.81518307783472,1.01047260653764,0.105085822542017,0.177823187826904,0.0521478517877677,12.9290016016297,7.81518307783472,1.01047260653764
2020-03-23,345,6,0,179.857142857143,2,0,41.4285714285714,0.714285714285714,0,NA,4807.72566192244,4960.24081343759,497.834410684374,0,8136.0446380782,2385.28491493896,8393.45489448846,2461.47288486377,16.7696018381055,4.91850593548838,842.299917331662,247.045647407283,NA,NA,NA,NA,8.32175730312003,0.961132517962501,0.116809393596462,0.197658624506374,0.0579655637395976,11.5490597879283,8.32175730312003,0.961132517962501
2020-03-24,345,6,1,219.285714285714,2.71428571428571,0.142857142857143,39.4285714285714,0.714285714285714,0.142857142857143,NA,5254.04772180544,5407.27715903487,447.03634559728,0,8891.68360730105,2606.40821425791,9149.8081494256,2683.310469897,17.7736209230118,5.21298363842548,756.353254937138,221.837585033237,NA,NA,NA,NA,8.81999233773517,0.820149806446956,0.127336714024804,0.215470091404226,0.0631896475611808,9.29829147985382,8.81999233773517,0.820149806446956
2020-03-25,443,8,1,270.285714285714,3.71428571428571,0.285714285714286,51,1,0.142857142857143,NA,5800.85357998465,5955.08301721409,547.805858179216,0,9817.53160967968,2877.25172282804,10076.6561518042,2955.15397846714,18.7607937626518,5.50252035599317,926.848002378629,271.843508570137,NA,NA,NA,NA,9.30986758146629,0.970728185753763,0.140237069573904,0.237296562574868,0.0695913277584787,10.42635863214,9.30986758146629,0.970728185753763
2020-03-26,558,8,2,334.428571428571,4.71428571428571,0.571428571428571,64.1428571428572,1,0.285714285714286,NA,6454.94966523489,6610.17910246433,655.096085250239,0,10924.9069381188,3201.33699821538,11185.0314802433,3280.23925385448,19.731086579185,5.78710618118765,1108.37532843908,325.085275387336,NA,NA,NA,NA,9.79136627237749,1.10580114308633,0.155664017446716,0.263397845730619,0.07724680565025,11.2930980969868,9.79136627237749,1.10580114308633
2020-03-27,674,9,2,411.142857142857,5.85714285714286,0.857142857142857,76.7142857142857,1.14285714285714,0.285714285714286,NA,7201.18339779285,7357.55569216514,747.376589700814,0,12188.271367355,3571.07274949548,12449.5387666224,3651.11786227744,20.6844730248768,6.06673338624712,1264.50728637906,370.87860842296,NA,NA,NA,NA,10.2644753356532,1.1885097577581,0.173264091619454,0.293175901852431,0.0859806770442403,11.5783488402092,10.2644753356532,1.1885097577581
2020-03-28,786,14,2,494.857142857143,7.71428571428571,1.14285714285714,83.7142857142857,1.85714285714286,0.285714285714286,NA,7979.57452269377,8137.80395992321,780.248267758065,0,13506.5380193302,3956.40647635287,13769.6625614547,4038.30873199197,21.6209348572727,6.34139662067951,1320.12379483237,387.190869714529,1.78117048346056,NA,0.172036584672557,NA,10.7291857186466,1.16255498164921,0.19163826546291,0.324263678786342,0.0950986881244517,10.835000647216,10.7291857186466,1.16255498164921
2020-03-29,901,17,4,578.857142857143,9.71428571428571,1.71428571428571,84.0000000000001,2,0.571428571428571,NA,8685.54288614623,8888.77665238,750.972692456789,43.004329004329,14702.1552932346,4305.87305413487,15040.2541943335,4410.97187260962,22.540463717656,6.61109343288238,1270.59163287875,372.663140617655,1.88679245283019,NA,0.191252414869128,NA,11.1854932734233,1.05272684248409,0.209323024754382,0.354185016021267,0.103874583712701,9.41118715441577,11.1854932734233,1.05272684248409
2020-03-30,989,24,4,670.857142857143,12.2857142857143,2.28571428571429,92,2.57142857142857,0.571428571428571,NA,9366.28719617687,9679.60321349288,790.826561112886,107.510822510822,15855.1694714727,4642.75046684609,16378.275698579,4803.41212098143,23.4430592635944,6.87582372242064,1338.02150424548,392.440248371809,2.42669362992922,NA,0.247944047608741,NA,11.6333978300543,1.05926717561414,0.227946308283948,0.385694268577419,0.113116213133388,9.10509074077896,11.6333978300543,1.05926717561414
2020-03-31,1181,30,9,790.285714285714,15.7142857142857,3.42857142857143,119.428571428571,3.42857142857143,1.14285714285714,NA,10244.5760754851,10668.8314867405,989.228273247614,107.510822510823,17343.0078943653,5077.22572166929,18051.978590336,5294.30735432235,24.3287290886423,7.1355897164756,1673.70289175706,490.895233340922,2.54022015241321,58.2010582010582,0.281192931365396,1.26,12.0729031567699,1.27512855438543,0.251241781038717,0.425108528328106,0.124676372545529,10.561583822151,12.0729031567699,1.27512855438543
2020-04-01,1181,30,9,895.714285714286,18.8571428571429,4.57142857142857,105.428571428571,3.14285714285714,1.14285714285714,NA,10934.0756368086,11511.989056722,843.157569981522,150.515151515152,18511.0165777694,5418.3039142917,19478.5403872932,5712.71637401243,25.197490127403,7.39039638194787,1426.56179695714,418.409019690079,2.54022015241321,52.3809523809524,0.260597884971777,1.05,12.5040176572075,1.02914305161562,0.271097414698477,0.458702828423177,0.134529544136087,8.23028267610964,12.5040176572075,1.02914305161562
2020-04-02,1317,32,9,1004.14285714286,22.2857142857143,5.57142857142857,108.428571428571,3.42857142857143,1,NA,11618.9238834923,12350.7810263494,838.791969627429,150.515151515152,19671.3532659508,5756.93000448276,20897.7159033134,6128.95900555687,26.0493671746825,7.64025099112708,1419.17551602027,416.242631544437,2.42976461655277,51.8272425249169,0.259092926445141,1.08398456379817,12.9267536355568,0.991680301581545,0.290850242234659,0.492123187971888,0.144331699154041,7.67135693486252,12.9267536355568,0.991680301581545
2020-04-03,1475,37,10,1118.57142857143,26.2857142857143,6.71428571428571,114.428571428572,4,1.14285714285714,NA,12300.6194830142,13208.4939418886,857.712915539179,172.017316017316,20826.644221912,6093.77572626482,22348.9042951721,6554.59097868158,26.8843927744698,7.88516308912965,1451.18839185864,425.631973124708,2.50847457627119,47.7922077922078,0.280122776773667,1.20958356861961,13.3411272414662,0.984866247568859,0.311048641730217,0.526297423139667,0.15435496506913,7.38203403464742,13.3411272414662,0.984866247568859
2020-04-04,1673,41,13,1245.28571428571,30.1428571428571,8.28571428571429,126.714285714286,3.85714285714286,1.57142857142857,NA,12938.9830964364,14130.2428366962,921.748894807544,279.528138528139,21907.9863960051,6409.5501509706,23908.4369454556,7012.0002046763,27.7026081926358,8.1251447791906,1559.53265028354,457.40922599472,2.45068738792588,43.6853002070393,0.29015778761794,1.2932216817985,13.7471589527366,1.03016306533727,0.332755033314875,0.563023072160577,0.165126557885577,7.49351604673553,13.7471589527366,1.03016306533727
