"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-22,363,5,1,363,5,1,NA,NA,NA,NA,14605.3896103896,14610.3896103896,NA,NA,24720.2747252747,7245.26852846402,24725.2747252747,7250.26852846402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0449405782372136,0.0760532862475923,0.0223013395763617,NA,NA,NA
2020-03-23,395,5,1,379,5,1,16,0,0,NA,16943.051948052,16948.051948052,2337.66233766234,0,28676.3186813187,8405.31149301826,28681.3186813187,8410.31149301826,40.6145912429066,13.8156874076857,3956.04395604396,1160.04296455424,NA,NA,NA,NA,20.1546091882093,0.109548601076813,0.0521310707551678,0.0882218120472071,0.0258695539085795,16.0054774300539,20.1546091882093,0.109548601076813
2020-03-24,416,7,1,391.333333333333,5.66666666666667,1,12.3333333333333,0.666666666666667,0,NA,17003.5210960729,17009.1877627396,61.1358146876046,0,28764.8381996077,8434.98289980559,28770.5048662743,8440.64956647226,40.6529879098416,13.8287486335072,89.1861849556626,30.3380734539987,NA,NA,NA,NA,20.1736631733048,0.0727928673721109,0.0523191204195731,0.0884961427686704,0.0259628717871566,0.360831182451953,20.1736631733048,0.0727928673721109
2020-03-25,480,9,1,413.5,6.5,1,22.1666666666667,0.833333333333333,0,NA,17112.4599325177,17118.9599325177,109.772169778193,0,28924.1427672224,8488.62297403136,28930.6427672224,8495.12297403136,40.6926382246551,13.8422363072303,160.137900948044,54.4734075591023,NA,NA,NA,NA,20.1933392693777,0.130365144212233,0.0526567722492462,0.0889887162084082,0.0261304283342124,0.645584930073957,20.1933392693777,0.130365144212233
2020-03-26,580,9,14,446.8,7,3.6,33.3,0.5,2.6,NA,17276.7000213198,17283.7000213198,164.740088802031,0,29163.9689999648,8569.87369479027,29170.9689999648,8576.87369479027,40.7335858214727,13.8561652716841,240.326232742409,81.7507207589024,NA,NA,NA,NA,20.2136591294526,0.194595004412277,0.0531635017100642,0.089727943576947,0.0263818880666484,0.962690866489544,20.2136591294526,0.194595004412277
2020-03-27,635,11,16,478.166666666667,7.66666666666667,5.66666666666667,31.3666666666667,0.666666666666667,2.06666666666667,NA,17431.0480260705,17438.7146927371,155.014671417353,0,29389.4409269607,8646.13160190966,29397.1075936274,8653.79826857632,40.7758732000309,13.8705499838176,226.138593662552,76.9245737860565,1.73228346456693,NA,0.0630780432721987,NA,20.2346438436244,0.18155464977058,0.0536403164394807,0.0904235307195184,0.0266185028947799,0.897246992921463,20.2346438436244,0.18155464977058
2020-03-28,671,16,16,505.714285714286,8.85714285714286,7.14285714285714,27.547619047619,1.19047619047619,1.47619047619048,NA,17565.8527807557,17574.7099236128,135.995230875662,0,29586.6430930527,8712.42748089056,29595.5002359098,8721.2846237477,40.8195389685269,13.885403576812,198.392642282452,67.4863551713788,2.38450074515648,NA,0.0910399094468292,NA,20.2563125708479,0.158037546112463,0.0540586286457965,0.0910337731771077,0.0268260863956584,0.780189640188375,20.2563125708479,0.158037546112463
2020-03-29,852,18,16,575.571428571429,10.7142857142857,9.28571428571429,69.8571428571428,1.85714285714286,2.14285714285714,NA,17155.9054722661,17919.1955155561,344.48559194331,752.575757575758,28810.2773409557,8510.57822576468,30098.0429087213,8892.23236110303,40.8646197591606,13.9007385116822,502.542672811483,170.947737355327,2.11267605633803,NA,0.100450938125954,NA,20.2786834895083,0.397686830384029,0.0551182432152336,0.0925795607233182,0.027351910166958,1.96110941064423,20.2786834895083,0.397686830384029
2020-03-30,950,24,53,654.857142857143,13.4285714285714,16.7142857142857,79.2857142857143,2.71428571428572,7.42857142857143,NA,17543.7270829793,18309.7314119836,390.535896427489,0,29377.2848601865,8701.66370820238,30667.7647136663,9086.03212925501,40.9111502256984,13.9165665764477,569.721804945028,193.799768151986,2.52631578947368,NA,0.131077837571621,NA,20.3017737962113,0.462147601275767,0.0563195054317702,0.0943319867729542,0.0279480252518559,2.27639337987041,20.3017737962113,0.462147601275767
2020-03-31,1065,30,394,747.571428571429,16.7142857142857,72.8571428571429,92.7142857142857,3.28571428571429,56.1428571428571,NA,17896.2433460508,18765.8768236843,456.145411700712,100.343434343434,29869.159958034,8875.27722077567,31333.1990300731,9312.39000273056,40.9591609475442,13.9328981731705,665.43431640675,226.357873475543,2.8169014084507,NA,0.159864632395632,NA,20.3255986656986,0.528474419481378,0.0577225781155749,0.096378818086538,0.0286442868844206,2.60004849336296,20.3255986656986,0.528474419481378
2020-04-01,1323,38,394,868,20.8571428571429,129,120.428571428571,4.14285714285714,56.1428571428571,NA,18358.4527890427,19357.6584167483,591.781593064028,125.429292929293,30515.4783904188,9102.97710906308,32196.5021999426,9606.0560564315,41.0086797268062,13.9497427591717,863.303169869512,293.666053700947,2.87226001511716,NA,0.196304734704494,NA,20.3501718945053,0.6729248557409,0.059542858593484,0.0990342807184425,0.0295475839636838,3.30673640060117,20.3501718945053,0.6729248557409
