"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-19,785,3,3,785,3,3,NA,NA,NA,NA,36230.7662337662,36233.7662337662,NA,NA,61315.6813186813,17977.6659505908,61318.6813186813,17980.6659505908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354323641088256,0.599624623380126,0.175829776780639,NA,NA,NA
2020-03-20,1020,6,5,902.5,4.5,4,117.5,1.5,1,NA,40233.5952380952,40238.0952380952,4004.329004329,0,68090.7380952381,19963.2765843179,68095.2380952381,19967.7765843179,7.82626949694714,2.57485607235837,6776.55677655678,1987.11063372717,NA,NA,NA,NA,3.88371268269557,0.324310005595445,0.393481271674473,0.665891382833724,0.195261382936205,11.0522890365953,3.88371268269557,0.324310005595445
2020-03-21,1280,12,5,1028.33333333333,7,4.33333333333333,125.833333333333,2.5,0.333333333333333,NA,42965.3855428356,42972.3855428356,2734.29030474036,0,72212.4289766978,21317.6424498282,72219.4289766978,21324.6424498282,9.27382260338705,3.05110352430619,4124.19088145976,1356.86586551025,0.9375,NA,0.0279249100286466,NA,4.60204730694395,0.312756870442907,0.420219416705201,0.706221121681021,0.208529936109348,6.79603771067268,4.60204730694395,0.312756870442907
2020-03-22,1600,14,5,1171.25,8.75,4.5,142.916666666667,1.75,0.166666666666667,NA,45649.5817895136,45658.3317895136,2685.94624667804,0,76261.951440136,22648.7680308865,76270.701440136,22657.5180308865,10.7224311629442,3.52769822213779,4051.27246343819,1332.87558105828,0.875,NA,0.0306625306954719,NA,5.32090568988211,0.332623260458033,0.446484813676367,0.745837804115438,0.221563892501054,6.25141893350452,5.32090568988211,0.332623260458033
2020-03-23,2060,23,5,1349,11.6,4.6,177.75,2.85,0.0999999999999996,NA,48589.6397349931,48601.2397349931,2942.90794547951,0,80697.9549490997,24106.3084399214,80709.5549490997,24117.9084399214,12.1714028591479,4.00441239254818,4438.85350896366,1460.39040903494,1.11650485436893,NA,0.0473238956977467,NA,6.03994427596812,0.389362191435912,0.475262994004144,0.789244573574797,0.235844794017094,6.44673583002141,6.03994427596812,0.389362191435912
2020-03-24,2362,33,22,1517.83333333333,15.1666666666667,7.5,168.833333333333,3.56666666666667,2.9,NA,51084.0493733059,51099.2160399726,2497.97630497944,0,84462.1415020667,25342.3390373799,84477.3081687334,25357.5057040465,13.6200150016054,4.48100826916011,3767.75321963371,1239.59726412514,1.39712108382726,NA,0.0645802471297908,NA,6.75880443688687,0.347448293893479,0.499690265903572,0.826088771080783,0.247966598117562,5.14096486124069,6.75880443688687,0.347448293893479
2020-03-25,2995,43,22,1728.85714285714,19.1428571428571,9.57142857142857,211.02380952381,3.97619047619048,2.07142857142857,NA,53902.3412400017,53921.4840971445,2822.26805717192,0,88715.0549938033,26738.8868451995,88734.1978509462,26758.0297023424,15.0674897238878,4.95722993258585,4256.88968221277,1400.52399829585,1.43572621035058,NA,0.0797455795588481,NA,7.47710016373382,0.413065571069528,0.52728872993551,0.867716148212423,0.261662076509351,5.52475399228376,7.47710016373382,0.413065571069528
2020-03-26,3544,60,43,2123,27.2857142857143,15.2857142857143,394.142857142857,8.14285714285714,5.71428571428572,NA,58252.5399209691,58731.3710898003,4809.88699265581,451.545454545455,95195.5408977335,28895.0412926829,95989.05738125,29144.890916743,16.5130194736451,5.43281169671868,7254.85953030385,2386.86121440063,1.69300225733634,NA,0.102160053284402,NA,8.19443071624493,0.73116778134132,0.574323770716687,0.938660146354288,0.285002773438356,8.92333594795012,8.19443071624493,0.73116778134132
2020-03-27,4268,76,43,2587,37.2857142857143,20.7142857142857,464,10,5.42857142857143,NA,63224.170721706,63938.7746178099,5207.40352800958,225.772727272727,102656.868075075,31357.8843968079,103843.499943207,31729.0159757553,17.9557873324193,5.90748479398648,7854.44256195681,2584.12505901227,1.78069353327085,NA,0.118863710564185,NA,8.91039070631335,0.796475551873596,0.625246055934191,1.01546736173776,0.310272478884636,8.93935875598632,8.91039070631335,0.796475551873596
2020-03-28,5170,100,43,3142.71428571429,49.8571428571429,26.1428571428571,555.714285714286,12.5714285714286,5.42857142857143,NA,68609.2139089377,69712.6771124009,5773.90249459104,376.287878787879,110714.676558537,34025.0878903644,112552.405496266,34594.2608226952,19.3950016630443,6.38098877440529,8708.90555305949,2865.24484693991,1.93423597678917,NA,0.14344593285202,NA,9.6245872914355,0.878895788597479,0.681708035127111,1.10063022075566,0.338291205401424,9.13242898828367,9.6245872914355,0.878895788597479
