"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-02,55,6,7,55,6,7,NA,NA,NA,NA,25773.2207792208,25779.2207792208,NA,NA,43620.3736263736,12786.6960257787,43626.3736263736,12792.6960257787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0078340836252747,0.0132576799812341,0.00388759037043707,NA,NA,NA
2020-03-03,74,7,7,64.5,6.5,7,9.5,0.5,0,NA,34798.6948051948,34805.1948051948,9025.97402597403,0,58894.5989010989,17265.2508055854,58901.0989010989,17271.7508055854,58.0289496799275,18.095527252127,15274.7252747253,4479.05477980666,NA,NA,NA,NA,28.7963208937986,0.0368599643846578,0.0105769995545271,0.0178995377076612,0.0052487366210435,35.0207453825525,28.7963208937986,0.0368599643846578
2020-03-04,107,11,7,78.6666666666667,8,7,14.1666666666667,1.5,0,NA,34847.3035508402,34855.3035508402,50.1087456454334,0,58972.8394634537,17288.6167996651,58980.8394634537,17296.6167996651,56.9720503482247,17.7659477790352,79.7405623548184,24.8659940796897,10.2803738317757,NA,0.0315590423246646,NA,28.2718445337055,0.040710339126144,0.0105922271716496,0.0179237701791995,0.00525629318292387,0.143996049064326,28.2718445337055,0.040710339126144
2020-03-05,184,12,7,105,9,7,26.3333333333333,1,0,NA,34941.1748939141,34950.1748939141,94.8713430738935,0,59122.8129941344,17334.6958120175,59131.8129941344,17343.6958120175,55.9343368042399,17.4423511291104,150.973530680647,47.0790123524566,6.52173913043478,NA,0.0343345921341571,NA,27.7568889404499,0.0755677744282261,0.0106210577574011,0.0179696497375727,0.00527060009013891,0.272248734928605,27.7568889404499,0.0755677744282261
2020-03-06,237,14,7,131.4,10,7,26.4,1,0,NA,35037.0505330521,35047.0505330521,96.8756391379211,0,59275.9760617554,17381.7694374544,59285.9760617554,17391.7694374544,54.9157667225903,17.1247241037661,154.163067621012,48.0736254368639,5.90717299578059,NA,0.039946300150984,NA,27.2514331104583,0.0755555466986133,0.0106504974314998,0.0180164985688083,0.00528520925172172,0.277253525194982,27.2514331104583,0.0755555466986133
2020-03-07,403,17,7,176.666666666667,11.1666666666667,7,45.2666666666667,1.16666666666667,0,NA,35205.0705547345,35216.2372214011,169.186688349087,0,59544.0446652623,17464.5600747805,59555.2113319289,17475.7267414472,53.9162937754184,16.8130522562991,269.235270173551,83.9573039927782,4.21836228287841,NA,0.0482731868629877,NA,26.755454053967,0.129196534767696,0.0107019118119484,0.0180983168533669,0.00531072315480145,0.482879368483046,26.755454053967,0.129196534767696
2020-03-08,519,21,7,225.571428571429,12.5714285714286,7,48.9047619047619,1.40476190476191,0,NA,35389.8354151799,35402.4068437513,186.169622350142,0,59838.9009689334,17555.5402382525,59851.4723975048,17568.1116668239,52.9358677352588,16.5073199239674,296.261065575862,92.3849253767658,4.04624277456647,NA,0.0593180008711939,NA,26.2689268460683,0.138913917632386,0.0107584871600734,0.0181883480448646,0.00533879813958531,0.528814796893243,26.2689268460683,0.138913917632386
2020-03-09,594,22,7,302.571428571429,14.8571428571429,7,77,2.28571428571429,0,NA,34783.0030048027,35700.9510567507,298.544212999426,903.090909090909,58779.242108955,17256.2764642522,60326.5607902736,17716.2614266582,51.9744345762836,16.207510259562,475.088392768848,148.149759834301,3.7037037037037,NA,0.0616230082079004,NA,25.7918246769528,0.217576484617968,0.0108492121804497,0.0183327233240952,0.00538381957826828,0.843587458085128,25.7918246769528,0.217576484617968
2020-03-10,782,28,8,403.714285714286,17.8571428571429,7.14285714285714,101.142857142857,3,0.142857142857143,NA,35104.1388197378,36100.3444474434,399.39339069269,75.2575757575758,59284.1117325105,17414.3776957238,60962.1355420343,17914.4566430922,51.0319365737848,15.9136052624293,635.574751760672,198.195216433967,3.58056265984655,NA,0.0775615868174436,NA,25.3241189012767,0.290782210840354,0.0109705843991395,0.0185258690284611,0.00544404940107675,1.14824298131344,25.3241189012767,0.290782210840354
2020-03-11,1147,33,8,552.285714285714,21,7.28571428571429,148.571428571429,3.14285714285714,0.142857142857142,NA,35472.716794859,36697.8380069802,597.493559536764,225.772727272727,59848.6749856261,17596.4534470729,61912.9570369082,18210.9572064714,50.1083124019046,15.6255858089467,950.821494873882,296.500563379144,2.8770706190061,NA,0.0899235535175756,NA,24.8657790866594,0.42323013633245,0.0111521575564922,0.0188148155085485,0.00553415337389837,1.70206015480094,24.8657790866594,0.42323013633245
