"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-08,482,2,18,482,2,18,NA,NA,NA,NA,69197.1341991342,69199.1341991342,NA,NA,117104.227106227,34337.4199785177,117106.227106227,34339.4199785177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102471448571157,0.17341322065888,0.0508504932759123,NA,NA,NA
2020-03-09,629,3,18,555.5,2.5,18,73.5,0.5,0,NA,90365.4653679654,90367.9653679654,21168.8311688312,0,152927.902930403,44841.75349087,152930.402930403,44844.25349087,15.9546755739345,6.66387641987756,35824.1758241758,10504.8335123523,NA,NA,NA,NA,7.9173578036066,0.106218271682297,0.133818673063678,0.22646236980007,0.0664062588135545,30.5920634052733,7.9173578036066,0.106218271682297
2020-03-10,887,7,18,666,4,18,110.5,1.5,0,NA,91751.3412569069,91755.3412569069,1387.3758889415,0,154574.745520923,45528.7257365102,154578.745520923,45532.7257365102,16.050029714307,6.70370350408376,1648.3425905201,688.472245640143,NA,NA,NA,NA,7.9646763995809,0.122281227181255,0.135873126760214,0.228903268157354,0.0674257621516854,1.53529435530725,7.9646763995809,0.122281227181255
2020-03-11,1298,7,18,824,4.75,18,158,0.75,0,NA,93722.7465920136,93727.4965920136,1972.15533510667,0,156917.115118063,46506.6392862624,156921.865118063,46511.3892862624,16.1444655867698,6.74314705032069,2343.11959713954,978.663549752178,NA,NA,NA,NA,8.0115393137354,0.172203504997399,0.138793533443543,0.232373006067707,0.068874986520856,2.14945668160269,8.0115393137354,0.172203504997399
2020-03-12,1787,9,18,1016.6,5.6,18,192.6,0.85,0,NA,96112.0814143096,96117.6814143096,2390.18482229601,0,159756.045939691,47691.8960401837,159761.645939691,47697.4960401837,16.237998760504,6.78221356145314,2839.78082162802,1186.10675392134,NA,NA,NA,NA,8.05795427212982,0.205496837121462,0.142332966471544,0.236578209756809,0.0706313968956533,2.55027184884025,8.05795427212982,0.205496837121462
2020-03-13,2266,10,18,1224.83333333333,6.33333333333333,18,208.233333333333,0.733333333333333,0,NA,98680.8833899667,98687.2167233001,2569.53530899048,0,162808.179908877,48966.2704541689,162814.513242211,48972.6037875023,16.3306460784374,6.82091007235866,3052.86730252003,1275.10774731858,NA,NA,NA,NA,8.10392963290876,0.216651841858669,0.146137985252693,0.241098956127486,0.0725196017043441,2.67347795529888,8.10392963290876,0.216651841858669
2020-03-14,2630,29,18,1425.57142857143,9.57142857142857,18,200.738095238095,3.23809523809524,0,NA,101140.847547612,101150.418976184,2463.2022528837,0,165731.474712803,50185.3733265273,165741.046141374,50194.9447550987,16.4224304477679,6.85924615081169,2926.53289916331,1222.34096759643,1.10266159695817,NA,0.0286701728905623,NA,8.14947676355399,0.203415157048358,0.149785543938187,0.245432624011327,0.074329668420454,2.49612910653589,8.14947676355399,0.203415157048358
2020-03-15,3072,43,18,1795.57142857143,15.4285714285714,18,370,5.85714285714286,0,NA,105349.124496485,105665.583370944,4515.16439476011,301.030303030303,170579.268095151,52271.7481389646,171105.5171794,52435.5526502428,16.5133757138798,6.89723175644397,5364.47103802644,2240.60789514411,1.39973958333333,NA,0.0406944235087848,NA,8.19460749711327,0.365812587471332,0.156471688807234,0.253376438980207,0.0776476049720107,4.46423428737295,8.19460749711327,0.365812587471332
2020-03-16,3684,65,20,2232,24.2857142857143,18.2857142857143,436.428571428571,8.85714285714286,0.285714285714285,NA,110561.901137968,110962.474731041,5296.89136009746,75.2575757575758,176735.947400363,54854.3295657799,177398.758755674,55064.0852048777,16.6035064187821,6.93487713985037,6293.24157627381,2628.53255463484,1.76438653637351,NA,0.0585783618809436,NA,8.23933401232795,0.41424845153975,0.164315430450464,0.262695595758574,0.0815399880430874,5.02794055993716,8.23933401232795,0.41424845153975
2020-03-17,4452,82,52,2741.28571428571,35,23.1428571428571,509.285714285714,10.7142857142857,4.85714285714286,NA,116473.482064688,117110.542670748,6148.06793970679,225.772727272727,183646.64299619,57783.2542576645,184703.284021831,58115.0061373637,16.6928519471895,6.97219457430505,7304.52526615665,3050.92093248607,1.8418688230009,NA,0.0700193151956779,NA,8.28367089108654,0.460606335002971,0.173419611232303,0.273512281455735,0.086057852190466,5.56074730664657,8.28367089108654,0.460606335002971
