"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","rcntAsct_L","rcntAsct_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w","cvDR"
"CT",0.504106973515114,2.70404217926186,17.8496915263825,22.796074256559,44.7050988963867,22.3223734374508,64.5107566612968,7.97972224956925,12.5754882600246,6.03715796259437,12.5754882600246,12.3695995250303,35.7476424804428,15.8258018090775,44.7703653376092,2.52688451839678,26.1132205596076,24.4078044916726,0.215775055416296,0.0142485022944857,147.042282010673
"AL",0.508453463744885,2.02659835045254,19.1730267523489,2.38399946565344,52.981793740621,26.478973935001,81.870127037968,10.1582134877636,23.1141513427764,10.9516415054381,31.3755142834364,12.4077167769052,38.3633199409438,1.56058204815492,4.80412013533186,19.8920585967604,1.70134398632746,4.12622798165018,0.205866186978464,0.0352627934699588,119.219237972189
"MI",0.549803797668715,2.54202875010152,20.6959208284628,15.5576751471387,31.5737498173873,15.6700532996629,49.9625050176493,6.53447826478341,6.75463871767759,3.30781421248269,7.96207124681169,13.0787642902915,41.7004214333078,10.9000306207891,31.3510726449961,4.23242873749875,15.0233835335855,16.8416055799032,0.166108316159929,0.00865137049624321,166.388586320709
"PA",0.564645624312536,2.57255116900829,21.6701044562015,92.106786096728,33.9354592549297,17.4574107653441,57.4079085978195,7.35384946823498,5.92889380192522,3.5550503012187,10.0143316661841,12.8098194967414,42.1245141509392,54.4469138974692,98.9999999999915,5.6801283255182,95.7724745467669,84.1549974860106,0.189181540462189,0.0165443041702348,77.6422133411086
"MA",0.629244776127821,2.77941703194556,22.1006477462018,49.1263267565057,38.4897717006761,19.1024509204202,65.1014129588205,8.5064888618837,3.6304477021091,1.52761024131377,6.11171407051,13.066519565811,44.530876678188,29.0449494364131,98.3404154039394,1.64368240939595,49.7991494356292,47.480682110489,0.236430800247747,0.0219368783735023,34.3750387769019
"NJ",0.666709417561575,2.92661109373852,22.2998251960522,75.1346847420124,40.5242487623159,21.2140541856401,68.5747848261458,9.03683663600981,1.39502402629827,1.37021086760847,2.35906311275967,13.1780750882711,42.5983480429067,44.4008523343597,99,6.51260157911211,75.6109833673451,73.4280760863613,0.26447306351249,0.0191169069790221,64.2042247162931
"OH",0.441692088539595,1.78002627042115,23.3928385771763,15.6357900166578,35.6376396527258,17.6854340703744,44.2377389720754,8.33665551667793,13.6268133458631,5.1209531155807,13.6268133458631,18.8451211802221,47.1385405837622,13.5115374283061,31.5084859426603,4.82980110466294,15.252962619994,16.586244168108,0.148394658271381,0.0499354099117982,114.101938540659
"DC",0.63868861898074,2.49670844102014,23.9476479576232,21.0382447477853,24.2671620612337,12.4326188072332,39.0741105653419,5.81141453973013,2.81264509258921,1.57827662812887,2.82544570806404,14.8728005721639,46.7432857858483,13.8456223770223,41.5084301418786,2.77337313061579,24.2644682936873,23.4903843952694,0.145094077356114,0.0130357960124634,113.710727273871
"NY",0.682229943956016,2.34024238483222,28.446866240252,95.1197483124933,29.9566032882266,16.6679648323839,52.1848232041748,8.52171486752477,0.391611511365242,0.391611511365242,2.1637559104907,16.3298720667948,51.1263069800104,24.860026011031,99,3.1243485480012,97.1739414029798,90.7944910486474,0.199428783244363,0.0155704140748319,93.4127793948179
"LA",0.655288566294538,2.2393977716998,28.5283681364562,35.9395222201517,32.6133935344018,16.1840900245904,55.1748073312915,9.30406896928537,1.68717055553031,0.645910208514929,2.84024123741489,16.8628934459527,57.4889842749801,21.2436816101008,72.4235826557631,3.61346797323125,35.3267045169048,37.7682218182954,0.208355113175589,0.0138100333118654,22.2470866727141
"MS",0.674034779927175,2.28394686548215,28.6824417991809,35.1350315236391,34.6933958607694,17.2162716301563,58.7062318551188,9.95091307592463,1.24273391052637,0.558013050589527,2.10045001232752,16.9503522223714,57.7994660498644,20.7636185035146,70.8024120097668,12.6003543025135,35.1039349300304,35.211731140093,0.227273567284434,0.0195554725250651,24.787407351099
"FL",0.522434182991725,1.68652710001784,29.4224044585087,32.4470625103401,29.9832576363485,14.8794713831893,47.0748824728918,8.82179533160314,8.38927381976644,3.89204409618976,10.5342829807627,18.7399200341779,59.2883651872872,20.7851349792677,65.3857471799296,6.26160785354178,32.3816177801176,32.5619584067271,0.148781968975596,0.0198205239220501,165.268129097445
"MD",0.648163204439314,2.05891908047769,29.7530649294498,20.5106091020722,21.3903895430102,10.7494747680429,35.6614305816115,6.36429648939408,1.98299572780777,0.883233645905721,2.83385910781666,17.846441899826,59.2056507571372,12.1100546781029,41.3767121333006,2.34079584408237,23.0498734852324,23.2358905877102,0.131035714758307,0.0110988342088897,112.621345357056
"NM",0.653948112025305,2.02464599583145,30.8947841466509,22.7949350943555,28.7361683187766,14.2606986894529,48.0286554943603,8.87797717410433,2.46964893779727,1.09213009379202,3.58069326640737,18.4847505780103,62.2548541795529,13.660414119013,45.9352479931728,2.39933428875243,21.930666238684,24.7295690220198,0.179747609366334,0.0197440993042351,61.3889980734241
