"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,0,0,NA,0,0,NA,NA,NA,NA,NA,757.575757575758,757.575757575758,NA,NA,1282.05128205128,375.93984962406,1282.05128205128,375.93984962406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107343511301576,0.181658249894974,0.0532682086158195,NA,NA,NA
2020-03-14,0,0,NA,0,0,NA,0,0,NA,NA,909.090909090909,909.090909090909,151.515151515152,0,1538.46153846154,451.127819548872,1538.46153846154,451.127819548872,NA,NA,256.410256410257,75.1879699248121,NA,NA,NA,NA,NA,NA,0.128812213561891,0.217989899873969,0.0639218503389834,NA,NA,NA
2020-03-15,0,0,NA,0,0,NA,0,0,NA,NA,1103.8961038961,1103.8961038961,194.805194805195,0,1868.13186813187,547.798066595059,1868.13186813187,547.798066595059,NA,NA,329.670329670329,96.6702470461869,NA,NA,NA,NA,NA,NA,0.156414830753725,0.264702021275534,0.077619389697337,NA,NA,NA
2020-03-16,22,0,NA,5.5,0,NA,5.5,0,NA,NA,1363.63636363636,1363.63636363636,259.74025974026,0,2307.69230769231,676.691729323308,2307.69230769231,676.691729323308,81.8853709392011,30.3371229362274,439.56043956044,128.893662728249,NA,NA,NA,NA,40.6348457292276,0.498235294117647,0.193218320342836,0.326984849810954,0.0958827755084752,23.5294117647059,40.6348457292276,0.498235294117647
2020-03-17,22,0,NA,8.8,0,NA,3.3,0,NA,NA,1371.97120537031,1371.97120537031,8.33484173394208,0,2318.85635277161,680.827816198798,2318.85635277161,680.827816198798,79.7855581698593,29.5591783852541,11.1640450792984,4.13608687549004,NA,NA,NA,NA,39.5928333775242,0.242,0.194399312697617,0.32856672170582,0.0964688318649829,0.611221727155753,39.5928333775242,0.242
2020-03-18,31,0,NA,12.5,0,NA,3.7,0,NA,NA,1381.56284340421,1381.56284340421,9.59163803390015,0,2331.70380480644,685.587576426147,2331.70380480644,685.587576426147,77.7350081363412,28.7994848314456,12.8474520348364,4.75976022734892,NA,NA,NA,NA,38.5752671954776,0.269684956257153,0.195758384837131,0.330387121314581,0.0971432586409825,0.699113654598261,38.5752671954776,0.269684956257153
2020-03-19,40,0,NA,16.4285714285714,0,NA,3.92857142857143,0,NA,NA,1392.01621430341,1392.01621430341,10.4533708992046,0,2345.7054988607,690.77496348891,2345.7054988607,690.77496348891,75.7331462071152,28.0578293836933,14.0016940542619,5.18738706276315,NA,NA,NA,NA,37.581862027591,0.284357054674606,0.197239558866312,0.332371069439801,0.097878277332155,0.756633760752226,37.581862027591,0.284357054674606
2020-03-20,71,1,NA,26.5714285714286,0.142857142857143,NA,10.1428571428571,0.142857142857143,NA,NA,1419.57674548739,1419.71960263025,27.70338832684,0,2382.66975016727,704.379652433057,2382.81260731013,704.522509575914,73.7794009102906,27.3340003214808,37.107108449422,13.7475460870035,NA,NA,NA,NA,36.6123342863096,0.728645068140248,0.201164947117212,0.337628903095878,0.0998262143589171,1.99016276119336,36.6123342863096,0.728645068140248
2020-03-21,98,1,NA,40.5714285714286,0.285714285714286,NA,14,0.142857142857143,NA,NA,1458.68651614522,1458.97223043093,39.2526278006817,0,2435.10354897496,723.715542920613,2435.38926326067,724.001257206327,71.8732038919219,26.6277870794371,52.5766559505478,19.4787476304134,NA,NA,NA,NA,35.6664019313297,0.986209653766855,0.206726786779851,0.345078670074017,0.102586225018573,2.76509374540401,35.6664019313297,0.986209653766855
2020-03-22,102,2,NA,55.1428571428571,0.571428571428571,NA,14.5714285714286,0.285714285714286,NA,NA,1500.34047187096,1500.91190044239,41.9396700114564,0,2490.99363041097,744.241995708253,2491.56505898239,744.813424279682,70.0139899899435,25.9389802747279,56.175795721721,20.8121670733543,NA,NA,NA,NA,34.7437845062877,0.998942284359606,0.212669362683105,0.353038411529084,0.105535172459285,2.87516677142446,34.7437845062877,0.998942284359606
