"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,42,1,NA,42,1,NA,NA,NA,NA,NA,10799.8658008658,10800.8658008658,NA,NA,18277.3882783883,5358.82814178303,18278.3882783883,5359.82814178303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101727752589925,0.172154658229104,0.05048144113485,NA,NA,NA
2020-03-14,73,1,NA,57.5,1,NA,15.5,0,NA,NA,12942.7229437229,12943.7229437229,2142.85714285714,0,21903.7619047619,6422.20085929109,21904.7619047619,6423.20085929109,3.20972181485557,0.975522964180198,3626.37362637362,1063.37271750806,NA,NA,NA,NA,1.59279428406366,0.143520301879653,0.121910212522596,0.206309590422854,0.060496797191664,19.8415163888921,1.59279428406366,0.143520301879653
2020-03-15,99,1,NA,71.3333333333333,1,NA,13.8333333333333,0,NA,NA,13637.9952661479,13638.9952661479,695.272322424917,0,23038.9743207574,6767.22321478014,23039.9743207574,6768.22321478014,4.009402032435,1.21856783262917,1135.21241599548,345.022355489056,NA,NA,NA,NA,1.98962807624594,0.106881167073443,0.128458621891092,0.217001567336607,0.0637463837955796,5.37191690997384,1.98962807624594,0.106881167073443
2020-03-16,121,1,NA,83.75,1,NA,12.4166666666667,0,NA,NA,14158.7855063929,14159.7855063929,520.79024024508,0,23889.2994779469,7025.66047685665,23890.2994779469,7026.66047685665,4.8045187318967,1.46022572208802,850.325157189516,258.437262076506,NA,NA,NA,NA,2.3841972654525,0.0910400150078571,0.133363675031059,0.225010338930142,0.0661804703161648,3.81867151353089,2.3841972654525,0.0910400150078571
2020-03-17,146,1,NA,96.2,1,NA,12.45,0,NA,NA,14607.1927014266,14608.1927014266,448.407195033613,0,24621.4405380836,7248.17833303874,24622.4405380836,7249.17833303874,5.59505660067647,1.70049197864629,732.141060136673,222.517856182094,NA,NA,NA,NA,2.77649425296727,0.0879243872287505,0.137586989813127,0.231905995815402,0.0682762505839575,3.16698910956133,2.77649425296727,0.0879243872287505
2020-03-18,197,3,NA,113,1.33333333333333,NA,16.8,0.333333333333333,NA,NA,15137.4116689122,15138.7450022455,530.552300818939,0,25487.3714580489,7511.126592593,25488.7047913822,7512.45992592634,6.38100059170207,1.93936202908379,866.264253298639,263.281592887594,NA,NA,NA,NA,3.16651157182208,0.11500083502429,0.142583986738077,0.240064889487611,0.0707559633437072,3.63213049669102,3.16651157182208,0.11500083502429
2020-03-19,287,10,NA,137.857142857143,2.57142857142857,NA,24.8571428571429,1.23809523809524,NA,NA,15835.5391102758,15838.1105388473,699.365536601767,0,26628.0290127062,7856.94207190917,26630.6004412776,7859.5135004806,7.16233592726087,2.17683138204619,1141.89564989538,347.05357455426,NA,NA,NA,NA,3.55424188871592,0.164191778456865,0.149170947967763,0.250819812314886,0.0740246809464085,4.6201130807459,3.55424188871592,0.164191778456865
2020-03-20,485,14,NA,201.142857142857,4.42857142857143,NA,63.2857142857143,1.85714285714286,NA,NA,17289.5344984038,17444.4782213475,1606.36768250026,150.515151515152,28993.5735376472,8578.04182412734,29253.412365486,8656.65836548072,7.93904810334621,2.41289562936593,2622.81192420846,797.144865000127,2.88659793814433,NA,0.0802546216766038,NA,3.9396780061718,0.399593307266644,0.164300491949388,0.275522717381478,0.0815325749523281,10.1440669074403,3.9396780061718,0.399593307266644
2020-03-21,555,20,NA,270,7.14285714285714,NA,68.8571428571429,2.71428571428571,NA,NA,18879.6983920955,19037.3564007535,1592.87817940599,0,31591.6460632406,9365.7783642837,31854.1991767937,9447.10919135137,8.71112289386249,2.64755044734028,2600.78681130765,790.450825870646,3.6036036036036,NA,0.1050566033381,NA,4.32281286462349,0.39819919037231,0.179302985298349,0.300018179334041,0.0889774212758724,9.21296163036114,4.32281286462349,0.39819919037231
2020-03-22,621,25,NA,344.571428571429,10.5714285714286,NA,74.5714285714286,3.42857142857143,NA,NA,20461.6682736458,20622.7548537324,1585.39845297885,0,34176.7917095294,10149.0888747845,34442.7733945111,10233.8482732807,9.47854635472717,2.88079159797808,2588.57421771737,786.739081929351,4.02576489533011,NA,0.121225317263932,NA,4.70363954445108,0.394916903685041,0.194235030983812,0.324398617202226,0.0963873086085081,8.39737171671459,4.70363954445108,0.394916903685041
2020-03-23,772,25,NA,437.571428571429,14,NA,93,3.42857142857143,NA,NA,22288.1734270024,22452.6885785175,1829.93372478515,0,37161.2046180834,11053.7477156553,37430.6148744936,11141.9356855801,10.2413048281896,3.11261493031228,2987.84147998255,908.087412299401,3.23834196891192,NA,0.111345240070357,NA,5.08215126812414,0.454429380531938,0.211470227554441,0.352539546314521,0.104940112921753,8.94322838349436,5.08215126812414,0.454429380531938
2020-03-24,1026,32,NA,563.285714285714,18.4285714285714,NA,125.714285714286,4.42857142857143,NA,NA,24586.9039372101,24755.8476601539,2303.15908163636,0,40917.2806736295,12192.2401922568,41191.1195014683,12284.8567336102,10.9993849471025,3.34301638169828,3760.5046269747,1142.92104803007,3.11890838206628,NA,0.129262388585086,NA,5.45834140232154,0.563939193573101,0.233162488300164,0.387957788829439,0.115704693442186,10.3335479202888,5.45834140232154,0.563939193573101
2020-03-25,1247,40,NA,713.285714285714,23.7142857142857,NA,150,5.28571428571429,NA,NA,27103.3732402679,27327.774394669,2571.92673451515,50.1717171717172,45026.1957442879,13438.5196244222,45390.4570385492,13561.1512033696,11.7527736391648,3.57199197910328,4199.33753708084,1276.2944697594,3.20769847634322,NA,0.146371231781696,NA,5.83220346003665,0.609969866331674,0.257386132159084,0.427509170902856,0.12772544904135,10.4605555098898,5.83220346003665,0.609969866331674
2020-03-26,1525,48,NA,890.142857142857,29.1428571428571,NA,176.857142857143,5.42857142857143,NA,NA,29762.4115422032,30178.593360385,2850.818965716,186.352092352092,49359.2463981921,14755.931399031,50045.1584861042,14975.8433216948,12.5014581311525,3.79953784039234,4654.70144755502,1414.69211832523,3.14754098360656,NA,0.159053138848442,NA,6.20373110267716,0.652409327757018,0.284236517282819,0.47134938945264,0.14104970030576,10.5183179246504,6.20373110267716,0.652409327757018
2020-03-27,2000,64,NA,1106.57142857143,36.2857142857143,NA,216.428571428572,7.14285714285714,NA,NA,32768.472431301,33471.3252451538,3292.73188476878,279.528138528139,54254.0091252911,16244.9981345446,55421.3974036794,16609.8305727831,13.245425953258,4.02565017564706,5376.2389175752,1633.98725108827,3.2,NA,0.191208443440005,NA,6.57291814221824,0.727056192541087,0.315249050971726,0.521985395172438,0.156439378677699,11.0633907474187,6.57291814221824,0.727056192541087
2020-03-28,2366,69,NA,1365.28571428571,43.2857142857143,NA,258.714285714286,7,NA,NA,36080.9325625495,37199.3265019434,3728.00125678961,408.541125541126,59640.6817888025,17886.6163736819,61508.3264774472,18459.8161588591,13.9846649434192,4.25032528848146,6086.92907376787,1849.98558607605,2.91631445477599,NA,0.185487229174419,NA,6.93975854335089,0.789381696550784,0.350361161102307,0.579315022839791,0.173863433328964,11.3767929359703,6.93975854335089,0.789381696550784
2020-03-29,2651,80,NA,1655.28571428571,51.1428571428571,NA,290,7.85714285714286,NA,NA,39527.3166833084,41169.6197136114,3970.29321166804,516.051948051948,65239.6658774979,19594.6211683013,67990.860016692,20430.0368503636,14.7191632516335,4.47355957735292,6482.53353924477,1970.22069150444,3.017729158808,NA,0.194318044607904,NA,7.30424642562263,0.803609319110648,0.387755293479514,0.640370643768191,0.192419920072541,11.0038541958005,7.30424642562263,0.803609319110648
2020-03-30,2808,87,NA,1946.14285714286,60,NA,290.857142857143,8.85714285714285,NA,NA,42796.3402193443,44963.5523405564,3793.93262694494,516.051948051948,70549.6955647126,21214.1086802761,74185.4391544562,22312.7402592235,15.4489093443176,4.69534953688753,6194.5791377642,1882.7034088599,3.0982905982906,NA,0.193490050210129,NA,7.66637606560123,0.735714541614244,0.423488376987112,0.698714171550443,0.210152126925936,9.59825494187173,7.66637606560123,0.735714541614244
2020-03-31,3929,111,NA,2360.85714285714,71.2857142857143,NA,414.714285714286,11.2857142857143,NA,NA,47285.531434003,50130.596369068,5167.04402851157,666.567099567099,77843.8469643367,23438.3732787426,82621.9788324686,24876.8372959285,16.1738920086744,4.91569175920701,8436.5396780124,2564.09703670499,2.82514634767116,169.727891156463,0.221421662696377,1.02769539078156,8.02614189904144,0.968883608149142,0.472154084555809,0.778173562760649,0.234302026922432,12.0735651740988,8.02614189904144,0.968883608149142
