"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,29,0,NA,29,0,NA,NA,NA,NA,NA,21190.4761904762,21190.4761904762,NA,NA,35860.8058608059,10515.574650913,35860.8058608059,10515.574650913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455827386424871,0.771400192411319,0.226200056421364,NA,NA,NA
2020-03-14,77,1,NA,53,0.5,NA,24,0.5,NA,NA,25692.1406926407,25692.6406926407,4502.1645021645,0,43479.3534798535,12749.231471536,43479.8534798535,12749.731471536,2.01515151515152,0.591058357806348,7619.04761904762,2234.15682062299,NA,NA,NA,NA,1,0.113258426966292,0.552673245849153,0.935293185283183,0.274258903955219,21.2461695607763,1,0.113258426966292
2020-03-15,87,2,NA,64.3333333333333,1,NA,11.3333333333333,0.5,NA,NA,26593.3662691739,26594.3662691739,901.725576533172,0,45004.4652314237,13196.2043140261,45005.4652314237,13197.2043140261,2.5327421593374,0.742871397107977,1525.61175157024,447.472842490144,NA,NA,NA,NA,1.25684949260352,0.0441120631749447,0.572070224431839,0.968110551498383,0.283884472274446,3.50973314104365,1.25684949260352,0.0441120631749447
2020-03-16,115,3,NA,77,1.5,NA,12.6666666666667,0.5,NA,NA,27429.0337451855,27430.5337451855,836.167476011604,0,46418.660523298,13610.64456528,46420.160523298,13612.14456528,3.0526483339204,0.895363598042705,1414.69529187432,414.94025125388,NA,NA,NA,NA,1.51484804540411,0.0476309101407001,0.590056985643706,0.998541998705429,0.292810233477328,3.14427089653881,1.51484804540411,0.0476309101407001
2020-03-17,196,4,NA,100.8,2,NA,23.8,0.5,NA,NA,28770.1625030943,28772.1625030943,1341.62875790882,0,48688.0358075054,14275.9152270994,48690.0358075054,14277.9152270994,3.57480456332507,1.04851575615578,2269.87528420737,665.770661819415,NA,NA,NA,NA,1.77396316676282,0.0867692958451285,0.61891670190364,1.04736918451335,0.307131596433385,4.89127240271202,1.77396316676282,0.0867692958451285
2020-03-18,257,6,NA,126.833333333333,2.66666666666667,NA,26.0333333333333,0.666666666666667,NA,NA,30049.3044324397,30051.9710991064,1279.8085960121,0,50852.6521101245,14910.3415479275,50855.3187767912,14913.0082145941,4.09913726744615,1.20230628987585,2165.28296928577,635.092987494725,NA,NA,NA,NA,2.03415834324396,0.0904870899602937,0.646446607423482,1.09394648970875,0.320793053307893,4.44838848537769,2.03415834324396,0.0904870899602937
2020-03-19,392,10,NA,164.714285714286,3.71428571428571,NA,37.8809523809524,1.04761904761905,NA,NA,31698.5672231689,31702.2815088832,1650.31040977684,0,53643.732185374,15728.2449592954,53647.4464710882,15731.9592450097,4.62554548123955,1.35670558543309,2792.12769429707,818.951030415574,NA,NA,NA,NA,2.29538347189331,0.126062267376911,0.681946360903134,1.15400782377297,0.338409472327871,5.49200868688078,2.29538347189331,0.126062267376911
2020-03-20,537,14,NA,237.285714285714,5.71428571428571,NA,72.5714285714286,2,NA,NA,34534.0663619123,34539.7806476266,2837.49913874332,0,58442.4411192167,17134.3272386718,58448.1554049309,17140.0415243861,5.15391959932691,1.5116814947858,4800.7089338427,1408.08227937638,2.60707635009311,NA,0.0405329731037595,NA,2.557584162072,0.228941213480831,0.742983678081381,1.25727565912645,0.36869866731858,8.9515059742806,2.557584162072,0.228941213480831
2020-03-21,763,20,NA,335.285714285714,8.42857142857143,NA,98,2.71428571428571,NA,NA,37930.4046785991,38014.0908257852,3474.31017815864,75.2575757575758,64190.1387004671,18818.6127406152,64326.2724001008,18864.1352970062,5.68414558165654,1.66720056917085,5878.11699516982,1724.09377262009,2.62123197903014,NA,0.0526120698023741,NA,2.82070382247618,0.283775615853179,0.817719409072228,1.38371957114255,0.405785571419301,10.0605302073273,2.82070382247618,0.283775615853179
2020-03-22,837,20,NA,442.428571428571,11,NA,107.142857142857,2.57142857142857,NA,NA,41325.9616166854,41487.4767682005,3473.38594241535,75.2575757575758,69936.4154426007,20502.5824564003,70202.825699011,20587.7704263251,6.21609848397529,1.82322616154484,5876.55329891021,1723.63512931889,2.389486260454,NA,0.0482073183475204,NA,3.08468045069451,0.282469159365965,0.892435258869301,1.51012984655829,0.442862609664465,9.15726044013205,3.08468045069451,0.282469159365965
2020-03-23,1172,35,NA,593.428571428571,15.5714285714286,NA,151,4.57142857142857,NA,NA,45754.3356984885,45995.6798543326,4508.20308613208,75.2575757575758,77431.4789387824,22698.0704540297,77830.1657519693,22824.9238374884,6.74964887282728,1.97972030814903,7627.34005295827,2237.15341116329,2.98634812286689,NA,0.0760941029915076,NA,3.34944981659098,0.365382655275715,0.989411014003473,1.67420121760545,0.490985916723528,10.90888852859,3.34944981659098,0.365382655275715
2020-03-24,1388,46,NA,763.714285714286,21.5714285714286,NA,170.285714285714,6,NA,NA,50383.6774885254,50706.2792201271,4710.59936579451,75.2575757575758,85267.544144724,24992.5671317924,85799.936086116,25162.5145002135,7.28466779924592,2.13664518732892,7969.77033414674,2337.5906627251,3.31412103746398,NA,0.0907185475004069,NA,3.61494793045286,0.372167376044042,1.09074050646527,1.84563859112957,0.541269725012841,10.2954163663011,3.61494793045286,0.372167376044042
2020-03-25,1795,65,NA,983.428571428571,30,NA,219.714285714286,8.42857142857143,NA,NA,55936.0176335649,56367.3913709387,5661.11215081152,100.343434343434,94666.766272348,27743.9536126463,95377.860289442,27971.7881991124,7.82103523057933,2.29396559264886,9577.92420332598,2809.27369889895,3.62116991643454,NA,0.115314898240106,NA,3.88111522720478,0.43607304173406,1.21251643697137,2.05166889067233,0.601699886015866,11.236004263684,3.88111522720478,0.43607304173406
2020-03-26,2304,83,NA,1256.57142857143,40.4285714285714,NA,273.142857142857,10.4285714285714,NA,NA,62353.0061264567,62952.4909749416,6585.0996040029,157.68253968254,105529.965437114,30923.5980992728,106519.060675209,31239.581987565,8.35863199532555,2.45164657025467,11141.200385767,3267.79378845256,3.60243055555556,NA,0.131845457923243,NA,4.14789256910892,0.48830080662063,1.35416822029416,2.2913267543197,0.671993252176048,11.772557079665,4.14789256910892,0.48830080662063
2020-03-27,2744,119,NA,1571.85714285714,55.4285714285714,NA,315.285714285714,15,NA,NA,69177.8593938798,70093.3745453949,7140.88357045338,301.030303030303,117085.665261737,34303.8185176933,118600.581012653,34783.1783458351,8.89733712334069,2.60965263873758,12081.5203374436,3543.5963582701,4.33673469387755,NA,0.169773535333117,NA,4.41521992586831,0.505631699082665,1.50777544768374,2.55121179842885,0.74821939509118,11.4523485138329,4.41521992586831,0.505631699082665
2020-03-28,3315,137,NA,1936.42857142857,72.1428571428571,NA,364.571428571428,16.7142857142857,NA,NA,76537.5367833538,77878.3073461243,7784.93280072938,408.541125541126,129546.869117163,37948.9366207405,131771.755564049,38646.3780815354,9.43703286170736,2.76794926032442,13171.1745513969,3863.1997357003,4.13273001508296,NA,0.175915482332087,NA,4.6830388637044,0.526988573140532,1.67523678928609,2.83453634564254,0.831320511976555,11.2535034604122,4.6830388637044,0.526988573140532
