"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,6,0,NA,6,0,NA,NA,NA,NA,NA,1969.69696969697,1969.69696969697,NA,NA,3333.33333333333,977.443609022557,3333.33333333333,977.443609022557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0320931988073338,0.054311567212411,0.0159259482803311,NA,NA,NA
2020-03-14,7,0,NA,6.5,0,NA,0.5,0,NA,NA,2294.37229437229,2294.37229437229,324.675324675325,0,3882.78388278388,1138.56068743287,3882.78388278388,1138.56068743287,47.335342582364,15.6822203238218,549.450549450549,161.117078410311,NA,NA,NA,NA,23.4897188754588,0.0253846153846154,0.0373832865228284,0.0632640233463249,0.0185511045902757,16.4835164835165,23.4897188754588,0.0253846153846154
2020-03-15,8,0,NA,7,0,NA,0.5,0,NA,NA,2296.54258213956,2296.54258213956,2.1702877672692,0,3886.03466286982,1139.63767233993,3886.03466286982,1139.63767233993,46.4259059453434,15.3809235562428,3.25078008593982,1.07698490706593,NA,NA,NA,NA,23.0384194916742,0.0217924528301887,0.0374186480418111,0.063316989834664,0.0185686524117258,0.0945917875922991,23.0384194916742,0.0217924528301887
2020-03-16,13,0,NA,8.5,0,NA,1.5,0,NA,NA,2303.17958400272,2303.17958400272,6.63700186315555,0,3895.97594061763,1142.93122213669,3895.97594061763,1142.93122213669,45.5435652279631,15.0886036790482,9.94127774780736,3.29354979675372,NA,NA,NA,NA,22.6005662033501,0.0653155814772889,0.037526787833645,0.0634789677470372,0.0186223157670719,0.28899973006258,22.6005662033501,0.0653155814772889
2020-03-17,22,0,NA,11.2,0,NA,2.7,0,NA,NA,2315.35491357458,2315.35491357458,12.1753295718568,0,3914.21283966339,1148.97311500693,3914.21283966339,1148.97311500693,44.6879820279013,14.8051485793966,18.2368990457649,6.04189287024474,NA,NA,NA,NA,22.1759910815149,0.11722928726017,0.0377251662027575,0.0637761101175182,0.0187207591682857,0.528631360594867,22.1759910815149,0.11722928726017
2020-03-18,35,1,NA,15.1666666666667,0.166666666666667,NA,3.96666666666667,0.166666666666667,NA,NA,2333.4136215792,2333.58028824587,18.2253746712927,0,3941.34517266569,1157.85061922978,3941.51183933235,1158.01728589645,43.8588203951995,14.5304469569152,27.2989996689598,9.04417088951368,NA,NA,NA,NA,21.7645274141592,0.171320176286471,0.0380221208011869,0.0642209055541239,0.0188681200968296,0.787152525275502,21.7645274141592,0.171320176286471
2020-03-19,58,1,NA,21.2857142857143,0.285714285714286,NA,6.11904761904762,0.119047619047619,NA,NA,2361.9337429232,2362.21945720892,28.6391689630464,0,3984.12349632938,1171.94349004352,3984.4092106151,1172.22920432924,43.0557468225378,14.2643883204786,42.897371282741,14.2119184327901,NA,NA,NA,NA,21.3660097014097,0.262236289786572,0.0384887522462001,0.0649198525932214,0.0190996815657835,1.22735072334343,21.3660097014097,0.262236289786572
2020-03-20,103,3,NA,35.1428571428571,0.714285714285714,NA,13.8571428571429,0.428571428571429,NA,NA,2427.55360864955,2428.26789436384,66.0484371549205,0,4082.62601940761,1204.29083479709,4083.3403051219,1205.00512051138,42.278430235593,14.0068629850146,98.9310945068005,32.7759161821407,NA,NA,NA,NA,20.9802736507454,0.586687903338551,0.0395649104863444,0.0665317834298324,0.0196337149781859,2.79637129334445,20.9802736507454,0.586687903338551
2020-03-21,118,3,NA,51,1.14285714285714,NA,15.8571428571429,0.428571428571428,NA,NA,2504.07472753569,2505.21758467855,76.949690314711,0,4197.45705763396,1242.04782397582,4198.59991477682,1243.19068111868,41.5265419832839,13.7577620682717,115.259609654922,38.1855606073004,NA,NA,NA,NA,20.6071561721559,0.653218163556447,0.0408186879695949,0.0684097624408273,0.020255890270626,3.16984514947615,20.6071561721559,0.653218163556447
2020-03-22,165,3,NA,73.4285714285714,1.57142857142857,NA,22.4285714285714,0.428571428571429,NA,NA,2614.42370557962,2615.99513415105,110.777549472505,0,4362.9573815461,1296.5915703306,4364.52881011753,1298.16299890203,40.799755827951,13.5169774875665,165.928895340709,54.9723177833482,NA,NA,NA,NA,20.2464953732689,0.89568958317805,0.0426236386667355,0.0711133199463607,0.0211515800902597,4.42389151786709,20.2464953732689,0.89568958317805
2020-03-23,275,4,NA,110.857142857143,2.14285714285714,NA,37.4285714285714,0.571428571428571,NA,NA,2801.95322109476,2804.09607823761,188.100944086562,0,4644.1342134611,1389.36346739611,4646.27707060396,1391.50632453897,40.0977479355622,13.2844019565381,281.748260486431,93.3433256369408,NA,NA,NA,NA,19.8981305544895,1.43163342324334,0.0456884557869781,0.0757039768222773,0.0226724667815079,7.19473831594791,19.8981305544895,1.43163342324334
2020-03-24,348,8,NA,157.428571428571,3.28571428571429,NA,46.5714285714286,1.14285714285714,NA,NA,3038.88244960861,3042.16816389432,238.072085656706,0,4999.58922630706,1506.36164524079,5002.87494059278,1509.6473595265,39.4201968658399,13.0599289818778,356.597869988817,118.141034987539,NA,NA,NA,NA,19.561902204101,1.66213080481254,0.049567476211441,0.0815141935773874,0.0245973942101888,8.49664740525856,19.561902204101,1.66213080481254
2020-03-25,446,9,NA,216.142857142857,4.42857142857143,NA,58.7142857142857,1.14285714285714,NA,NA,3317.85878559086,3347.37321560529,305.205051710968,25.0858585858586,5413.03142647607,1644.30926488684,5460.02837397302,1661.10249796954,38.7667835623607,12.8434528600488,457.153433380241,151.455138443037,NA,NA,NA,NA,19.2376519933519,1.93213933128901,0.0545403256153113,0.088962809404412,0.027065123989553,10.0433319409995,19.2376519933519,1.93213933128901
2020-03-26,657,9,NA,301.714285714286,5.57142857142857,NA,85.5714285714286,1.14285714285714,NA,NA,3750.95292063379,3799.52867820955,452.155462604261,17.9184704184704,6058.74667819895,1858.7124052984,6137.29246574473,1885.48039670549,38.1371913425975,12.6348686739872,677.264091771716,224.377898735949,NA,NA,NA,NA,18.9252227715145,2.57917966557111,0.0619075071546183,0.0999977916766557,0.0307210185880061,13.6279296927262,18.9252227715145,2.57917966557111
2020-03-27,834,9,NA,406.142857142857,6.42857142857143,NA,104.428571428571,0.857142857142858,NA,NA,4246.29590071685,4360.23529465624,560.706616446695,64.5064935064935,6788.2861623682,2104.30580680041,6977.15063123267,2163.72578531814,37.5311058879577,12.4340722898016,839.858165487936,278.245388612646,NA,NA,NA,NA,18.6244585609414,2.78413824625409,0.0710433636802948,0.113681995637793,0.0352546015255598,14.9483778738538,18.6244585609414,2.78413824625409
2020-03-28,977,13,NA,528.857142857143,7.85714285714286,NA,122.714285714286,1.42857142857143,NA,NA,4849.64317384136,5029.51763271582,669.282338059572,64.5064935064935,7679.88509068195,2403.20746113288,7979.63966943653,2495.85085533266,36.948215233773,12.2409603534569,1002.48903820386,332.125070014524,1.33060388945752,NA,0.258474091341048,NA,18.3352045520979,2.8900155241298,0.0819482954865754,0.130016020871227,0.040666071444466,15.7615567475311,18.3352045520979,2.8900155241298
2020-03-29,1067,16,NA,657.714285714286,9.71428571428571,NA,128.857142857143,1.85714285714286,NA,NA,5496.88064174906,5743.11873698716,713.601104271341,64.5064935064935,8637.4386087347,2723.6733152396,9048.51186880796,2849.96869655002,36.3882097592622,12.0554302874487,1068.87219937143,354.117841217356,1.49953139643861,NA,0.278594274865952,NA,18.0573070985812,2.65714863615249,0.0935753337878205,0.147431658160519,0.0464358799247831,14.7145074120186,18.0573070985812,2.65714863615249
2020-03-30,1415,16,NA,820.571428571429,11.4285714285714,NA,162.857142857143,1.71428571428572,NA,NA,6324.56818072449,6658.52921968553,915.410482698369,86.008658008658,9860.92933523384,3133.82975241108,10419.6655989701,3304.2325451071,35.850782177459,11.8773802874668,1371.15373016214,454.263848557085,1.13074204946996,NA,0.240293306105754,NA,17.7906137121225,2.9628451327989,0.108490547175226,0.169772510552793,0.0538374143877061,16.6532719620249,17.7906137121225,2.9628451327989
2020-03-31,1674,19,NA,1010,13,NA,189.428571428571,1.57142857142857,NA,NA,7231.26949878135,7738.81928233113,1080.2900626456,172.017316017316,11185.5801854173,3583.5558629828,12037.7853136224,3840.31633559289,35.3356275251141,11.7067093190491,1618.1197146523,536.083790485789,1.13500597371565,216.666666666667,0.24551548895036,0.964615384615384,17.5349730575754,2.99525733888005,0.126092221079109,0.196137295844813,0.062572079633242,17.0808509257284,17.5349730575754,2.99525733888005
2020-04-01,1924,24,NA,1221.14285714286,15.1428571428571,NA,211.142857142857,2.14285714285714,NA,NA,8278.27756179144,8959.9875185014,1221.16823617026,172.017316017316,12720.6749239583,4102.62001455171,13866.9203452037,4446.30959564731,34.8424431525686,11.5433171142273,1829.13503158135,605.993260054417,1.24740124740125,216.326530612245,0.267857515989198,1.04603773584906,17.2902349478912,2.91999650037691,0.145989289300036,0.225940252907305,0.0724458127353561,16.8873285164667,17.2902349478912,2.91999650037691
2020-04-02,2140,32,NA,1433,18.4285714285714,NA,211.857142857143,3.28571428571428,NA,NA,9345.08307612955,10202.0960631425,1242.10854464114,172.017316017316,14285.9923868233,4630.93274024903,15727.4209582518,5062.69428697299,34.3709287136083,11.3871041681655,1860.50061304809,616.384691325677,1.49532710280374,230.357142857143,0.313661033987001,1.39339894016628,17.0562503390838,2.55931746271724,0.166227547812252,0.256254264135593,0.0824888583128468,15.0044322066962,17.0562503390838,2.55931746271724
2020-04-03,2277,45,NA,1639.14285714286,23.5714285714286,NA,206.142857142857,5.14285714285715,NA,NA,10435.5718761377,11426.7407073066,1224.64464416403,129.012987012987,15896.2686453646,5169.91858944751,17561.7631508591,5670.4126818213,33.9207861552898,11.2379717357891,1834.34219260726,607.718394848316,1.97628458498024,181.318681318681,0.393813084173913,1.95382072299347,16.8328713251814,2.20600447238147,0.186181258783102,0.286142063920898,0.0923906998472536,13.1046951020926,16.8328713251814,2.20600447238147
2020-04-04,2629,51,NA,1875.14285714286,29,NA,236,5.42857142857143,NA,NA,11635.1017673854,12846.7208150044,1419.98010769786,215.021645021645,17652.895005626,5763.15898660799,19688.6898774208,6375.06446458866,33.4917197077349,11.0958218284041,2126.92672656175,704.651782767357,1.93990110308102,131.818181818182,0.396988466818974,2.20268606341925,16.6199511331617,2.26160596714565,0.209317662300958,0.320797081080558,0.103871922645588,13.6071134821545,16.6199511331617,2.26160596714565
2020-04-05,2718,64,NA,2111,35.8571428571429,NA,235.857142857143,6.85714285714285,NA,NA,12785.3504577532,14283.3547867576,1436.63397175314,279.528138528138,19323.5763579516,6331.44029160257,21840.561705937,7087.98057087217,33.0834358739186,10.9605572103142,2151.87182851612,712.916106283512,2.35467255334805,102.448979591837,0.448074006110497,2.74256687555877,16.4173441178844,2.02721545514439,0.232725415055909,0.355858540514642,0.115487799952556,12.3474121711613,16.4173441178844,2.02721545514439
2020-04-06,3147,72,NA,2358.42857142857,43.8571428571429,NA,247.428571428572,8,NA,NA,14044.3168327379,15808.3471357682,1524.99234901063,258.025974025974,21161.9502205193,6953.02403515027,24124.7817223508,7844.74369143384,32.6956434194271,10.8320813954266,2284.22001641382,756.763120561667,2.28789323164919,75.615763546798,0.45545558546783,3.04798099009276,16.2249057570089,1.93534369177842,0.25757283239442,0.39307641119946,0.127818097278434,11.9276538726856,16.2249057570089,1.93534369177842
2020-04-07,3443,92,NA,2611.14285714286,54.2857142857143,NA,252.714285714286,10.4285714285714,NA,NA,15372.645122267,17383.6278062497,1575.28067048154,236.52380952381,23109.7073906893,7607.73259558258,26484.3264383083,8626.46191889085,32.3280533621925,10.7102986438522,2359.54471595754,781.718227457008,2.67208829509149,52.7045769764216,0.529233604316611,3.7887088246539,16.0424926459,1.79949107141667,0.283239620998401,0.431521582628885,0.140554999893943,11.2164990952746,16.0424926459,1.79949107141667
2020-04-08,3625,107,NA,2854.14285714286,66.1428571428571,NA,243,11.8571428571429,NA,NA,16569.4500570087,18914.822351381,1531.19454513126,322.532467532467,24844.0525729889,8196.74213355319,28777.8364557727,9386.30282098606,31.98037896222,10.5951139585014,2293.51001746442,759.840902095211,2.95172413793103,56.0532687651332,0.565693919891285,4.27108609864438,15.8699624925302,1.58080276520156,0.308188093634353,0.468890819668642,0.152935444961408,9.9605144915064,15.8699624925302,1.58080276520156
2020-04-09,3852,123,NA,3098.71428571429,79.1428571428571,NA,244.571428571428,13,NA,NA,17618.9685711787,20471.8906491008,1557.06829771976,494.549783549784,26324.1126360697,8712.66216958598,31110.1016470587,10158.9833296289,31.6523357113001,10.4864330816762,2332.26519128594,772.68050864289,3.19314641744548,47.965367965368,0.600823842351868,4.7018436079743,15.7071741123745,1.47610482657837,0.333558139486129,0.50689151297675,0.165525091775072,9.39722376036942,15.7071741123745,1.47610482657837
2020-04-10,4249,133,NA,3380.42857142857,91.7142857142857,NA,281.714285714286,12.5714285714286,NA,NA,18643.5222133547,22283.0936419262,1811.20299282541,774.077922077923,27710.9252945119,9217.34507257775,33823.0241956108,11057.775792234,31.3436413226871,10.3841624916508,2712.92254855212,898.79246260509,3.13014827018122,33.3506493506493,0.596865058942073,4.74306144615384,15.5539874232883,1.59899692573907,0.363068921410176,0.551094435578076,0.180169539947907,10.2798468906301,15.5539874232883,1.59899692573907
2020-04-11,4456,145,NA,3641.42857142857,105.142857142857,NA,261,13.4285714285714,NA,NA,19506.6878228506,23976.7700739329,1693.67643200669,817.08225108225,28847.8685038788,9641.65281864338,36359.9087969191,11898.2468036058,31.0540157207824,10.2882093992529,2536.88460130829,840.471011371745,3.254039497307,30.2134646962233,0.604752014357604,4.76633743396958,15.4102634403883,1.40001115291192,0.390664787822079,0.592429089138302,0.193863729295167,9.0845303404819,15.4102634403883,1.40001115291192
2020-04-12,4564,157,NA,3905.14285714286,118.428571428571,NA,263.714285714286,13.2857142857143,NA,NA,20187.6443035058,25703.1161649777,1726.34609104483,1032.1038961039,29669.0172433866,9976.33261892556,38945.7278660972,12754.9298262295,30.7831810307869,10.1984817444366,2585.81906917808,856.683022623751,3.43996494303243,26.5534913516976,0.610820878652541,4.69024485432559,15.2758642709168,1.35197543210302,0.418792956348778,0.634561054990742,0.207822068564055,8.8500216270573,15.2758642709168,1.35197543210302
2020-04-13,4759,167,NA,4135.42857142857,132,NA,230.285714285714,13.5714285714286,NA,NA,20489.9238556107,27223.0883577752,1519.97219279748,1204.12121212121,29888.8643052984,10123.5293461784,41222.4284078625,13509.2017414523,30.5308615683628,10.1148881928564,2276.70054176528,754.271915222809,3.50914057575121,20.0913242009132,0.61344986948295,4.39528199794232,15.1506531091124,1.14077457112638,0.443558577921813,0.671656407339727,0.220111775510073,7.52922019996915,15.1506531091124,1.14077457112638
2020-04-14,4932,185,NA,4348.14285714286,145.285714285714,NA,212.714285714285,13.2857142857143,NA,NA,20321.8217791177,28637.9300042259,1414.84164645071,1569.65800865801,29331.2445363732,10038.6709580584,43341.6584557872,14211.3036111196,30.2967838292599,10.0373381324312,2119.2300479247,702.101869667271,3.75101378751014,17.4203494347379,0.645996410958128,4.24289029141913,15.0344942310613,1.03818509227799,0.466611258074651,0.706186018895654,0.231551451375391,6.90506053814978,15.0344942310613,1.03818509227799
2020-04-15,5070,202,NA,4554.57142857143,158.857142857143,NA,206.428571428572,13.5714285714286,NA,NA,19906.4679491147,30020.827256474,1382.89725224812,1784.67965367965,28360.6191332183,9831.69193608055,45413.0403786395,14897.5533753931,30.0806764789358,9.96574166990461,2071.38192285239,686.249764273503,3.98422090729783,16.2596870887557,0.672866201435001,4.01628972699167,14.9272529895471,1.01584150309624,0.489143453193651,0.739936018453325,0.242732841434443,6.80498661625485,14.9272529895471,1.01584150309624
2020-04-16,5376,216,NA,4772.28571428571,172.142857142857,NA,217.714285714286,13.2857142857143,NA,NA,19404.671141584,31489.013132926,1468.18587645204,1956.69696969697,27226.1321461526,9582.53605522216,47612.1724391929,15626.126817843,29.8822703421917,9.90000962741215,2199.13206055333,728.573442449882,4.01785714285714,16.1333511848976,0.685953539058811,3.76102271069035,14.8287958089072,1.0937346061234,0.513065295966422,0.775767511068038,0.254603831081082,7.3754212962593,14.8287958089072,1.0937346061234
2020-04-17,5596,229,NA,4964.71428571429,185.857142857143,NA,192.428571428571,13.7142857142857,NA,NA,18804.34138231,32794.5881355567,1305.5750026307,1892.19047619048,25957.110338314,9284.05232935253,49567.7367119404,16274.0061424567,29.7012983927677,9.84005353903357,1955.56427274754,647.879324613725,4.09220872051465,13.1347804139324,0.698285946002512,3.4391979436386,14.7389901798697,0.991706056160002,0.534337643318288,0.807630439199293,0.265160033526368,6.72814804798655,14.7389901798697,0.991706056160002
2020-04-18,5784,236,NA,5154.42857142857,198.857142857143,NA,189.714285714286,13,NA,NA,18064.4352882202,34088.8855046704,1294.29736911366,2021.20346320346,24452.9874602765,8917.09678105018,51506.4087056978,16916.2890474304,29.5374957429478,9.78578564734921,1938.67199375736,642.282904973696,4.08022130013831,11.879160266257,0.69230776103744,3.04956081012026,14.6577046543952,1.00893249320111,0.555426238884927,0.839218133486825,0.275625050875227,6.8829710267399,14.6577046543952,1.00893249320111
2020-04-19,5920,242,NA,5348.14285714286,211,NA,193.714285714285,12.1428571428571,NA,NA,17380.7832796481,35417.0776519424,1328.19214727204,1999.7012987013,23036.9784253429,8578.41662212395,53495.8502202147,17575.3919175053,29.3905996331481,9.73711889999056,1989.44151451692,659.102870074843,4.08783783783784,10.966735966736,0.683286188595878,2.70089661955774,14.5848088405096,1.07240311705753,0.577067098008195,0.871633039446079,0.286364123823616,7.35252514723308,14.5848088405096,1.07240311705753
2020-04-20,6083,263,NA,5537.28571428571,224.714285714286,NA,189.142857142858,13.7142857142857,NA,NA,16626.9845675707,36719.698853285,1302.62120134258,2042.70562770563,21508.1219900268,8204.27913020157,55446.9901218949,18221.805445991,29.2603494215106,9.69396694619263,1951.13990168025,646.413528485788,4.32352457668913,10.5006675567423,0.716236810794192,2.57790162308067,14.5201733971406,1.08828312800439,0.598291317686904,0.903423879219356,0.296896443363426,7.49460585512208,14.5201733971406,1.08828312800439
2020-04-21,6312,281,NA,5734.42857142857,238.428571428571,NA,197.142857142857,13.7142857142857,NA,NA,15976.5899643327,38082.7198344626,1363.0209811776,1999.7012987013,20142.7101289459,7881.31102419089,57488.600238836,18898.1917975529,29.146486573486,9.65624413334275,2041.6101169411,676.386351561818,4.45183776932826,10.4711713407366,0.737867466455775,2.45914392561932,14.463670028948,1.18573975126334,0.62049965937625,0.936688792745691,0.307917124201748,8.19764387004988,14.463670028948,1.18573975126334
2020-04-22,6516,301,NA,5941,252.571428571429,NA,206.571428571428,14.1428571428572,NA,NA,15352.7555011456,39515.7338561239,1433.0140216613,2042.70562770563,18808.734882517,7571.45117242668,59635.0499008321,19609.3115376254,29.0487546514122,9.62386550352792,2146.44966199604,711.119740072529,4.61939840392879,9.60712927240124,0.761721903219451,2.34301036299041,14.4151714811519,1.29302912151614,0.643848430582386,0.971661906271358,0.319503732469455,8.96946109814711,14.4151714811519,1.29302912151614
2020-04-23,6787,317,NA,6142.57142857143,267,NA,201.571428571428,14.4285714285714,NA,NA,14740.9054036374,40918.0136287457,1402.27977262176,1999.7012987013,17501.4127797521,7267.25058698227,61735.4640618034,20305.1796954678,28.9668993040901,9.59674679008132,2100.41416097132,695.868157842375,4.67069397377339,9.8233995584989,0.77471991401191,2.21936656151605,14.3745515343605,1.31300067505369,0.666696434218791,1.00588494173461,0.330841839537144,9.13373350156674,14.3745515343605,1.31300067505369
2020-04-24,7022,343,NA,6346.28571428571,283.285714285714,NA,203.714285714286,16.2857142857143,NA,NA,14080.8467046499,42338.4484362517,1420.43480750599,2064.2077922078,16109.9656364157,6938.4072798585,63863.0718635219,21010.0571187414,28.9006682563586,9.57480441412838,2127.60780171854,704.877423273654,4.88464824836229,9.00177039357211,0.810138332103619,2.16973980299258,14.341684999396,1.38203712853673,0.689840246374404,1.04055105597201,0.342326738802336,9.63600788833151,14.341684999396,1.38203712853673
2020-04-25,7186,357,NA,6546.57142857143,300.571428571429,NA,200.285714285714,17.2857142857143,NA,NA,13505.8543170951,43737.4387326795,1398.99029642783,1956.69696969697,14867.833585792,6650.91374274749,65958.5588605172,21704.2929049387,28.8498112986649,9.55795548113158,2095.48699699531,694.235786197263,4.96799332034512,8.72992821874611,0.816234352866344,2.05365648631554,14.3164477121194,1.42247167832723,0.712634653028589,1.07469381083603,0.35363824887133,9.93541315925157,14.3164477121194,1.42247167832723
2020-04-26,7348,374,NA,6750.57142857143,319.428571428571,NA,204,18.8571428571429,NA,NA,13086.0146692485,45164.140210374,1426.70147769451,1827.68398268398,13884.5605622087,6439.1898788322,68095.5532362013,22412.2801043961,28.8140802766402,9.54611777743666,2136.99437568409,707.987199457428,5.08982035928144,8.81182266009852,0.82809060076847,1.97728529008729,14.2987165282575,1.51053344882529,0.735880570987945,1.10951286493628,0.365173817181988,10.5635781654231,14.2987165282575,1.51053344882529
2020-04-27,7516,395,NA,6955.28571428571,338.285714285714,NA,204.714285714286,18.8571428571428,NA,NA,12435.6834573601,46596.8739335506,1432.73372317662,2064.2077922078,12508.9640036134,6113.87836444725,70241.5830512324,23123.26074898,28.7932290806732,9.53920976681859,2146.02981503111,710.980644583891,5.25545502927089,8.78207981011719,0.847696350968284,1.92947494088608,14.2883693182288,1.56445255428736,0.759224775159083,1.14447913769795,0.3767581591015,10.9485871702672,14.2883693182288,1.56445255428736
2020-04-28,7657,409,NA,7147.42857142857,356.571428571429,NA,192.142857142857,18.2857142857143,NA,NA,11698.2303729124,47941.9143555964,1345.04042204579,2064.20779220779,11698.2303729124,5745.62130213269,72256.2608671021,23790.7244170629,28.7870136354751,9.53715058702415,2014.67781586964,667.463668082866,5.34151756562622,8.39189052886393,0.853115703654116,1.83547224892713,14.2852849619651,1.54516863156129,0.781140151144688,1.17730523058034,0.387633458462777,10.8159750660887,14.2852849619651,1.54516863156129
2020-04-29,7862,425,NA,7339.71428571429,374.285714285714,NA,192.285714285714,17.7142857142857,NA,NA,10897.459958476,49287.5725125886,1345.65815699216,2128.71428571429,10897.459958476,5346.44736929744,74961.6345191269,24458.4946303071,28.7951918896669,9.5398600463225,2705.37365202478,667.770213244232,5.40574917323836,8.39958963836881,0.862286329665456,1.77254900759987,14.2893433437445,1.64379596396008,0.803065592176211,1.22138515546132,0.398513752508496,11.5030916138228,14.2893433437445,1.64379596396008
2020-04-30,8091,444,NA,7526,392.428571428571,NA,186.285714285715,18.1428571428572,NA,NA,10010.2570423237,50590.2310682978,1302.65855570919,2171.71861471861,10010.2570423237,4904.31015419287,78342.946298811,25104.9266955463,28.8175238053512,9.54725862005004,3381.3117796841,646.432065239147,5.48757879124954,8.59834731438588,0.87763979452988,1.72741700714477,14.3004253470164,1.70952351113984,0.824290420487177,1.27647845805785,0.409046374076344,11.9537815295755,14.3004253470164,1.70952351113984
2020-05-01,8407,458,NA,7723.85714285714,408.857142857143,NA,197.857142857143,16.4285714285714,NA,NA,8924.41883144377,51972.0681820931,1381.83711379537,2451.24675324676,10348.9699368088,4365.40118166168,83111.9040027428,25790.6503760763,28.8537713476965,9.55926744715986,4768.95770393187,685.723680530034,5.44784108481028,8.59124065680065,0.881242590530201,1.68239545043827,14.3184128492328,1.97663809579121,0.846805342271928,1.35418132811893,0.420219192405618,13.8042120991789,14.3184128492328,1.97663809579121
2020-05-02,8620,473,NA,7928.71428571429,425.428571428571,NA,204.857142857142,16.5714285714286,NA,NA,7734.33933276089,53400.3220167436,1428.25383465045,2601.7619047619,10696.5979198025,3775.19524353977,87891.0521322567,26499.4079180833,28.9036984745231,9.5758083267715,4779.14812951389,708.757542006992,5.48723897911833,8.62588344340169,0.885762448870049,1.65165568855781,14.3431887166806,2.29557693208613,0.870076553513028,1.43205023557517,0.431767312269623,16.0038862095784,14.3431887166806,2.29557693208613
2020-05-03,8790,486,NA,8134.71428571429,441.428571428571,NA,206,16,NA,NA,7165.39843322478,55685.6668314932,2285.3448147496,2838.28571428572,10732.7400936607,3555.76162851755,92759.5019984226,27694.9474502147,28.9670711258962,9.5968037147231,4868.4498661659,1195.53953213138,5.52901023890785,8.70667793744717,0.872756002851961,1.61887610840302,14.3746367993169,2.66357405734045,0.907312751065971,1.51137417821313,0.451246799965957,29.548028815718,14.3746367993169,2.66357405734045
