"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,49,1,NA,49,1,NA,NA,NA,NA,NA,29782.5497835498,29783.5497835498,NA,NA,50401.9304029304,14778.8066595059,50402.9304029304,14779.8066595059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.335317638820491,0.56746061954237,0.166398226783101,NA,NA,NA
2020-03-14,69,1,NA,59,1,NA,10,0,NA,NA,38332.3333333333,38333.3333333333,8549.78354978355,0,64870.7948717949,19021.5563909774,64871.7948717949,19022.5563909774,56.6843208831975,23.4986580164277,14468.8644688645,4242.74973147154,NA,NA,NA,NA,28.12906149091,0.0335767087528666,0.431575245894687,0.730358108437163,0.214165159616913,28.7073592151132,28.12906149091,0.0335767087528666
2020-03-15,72,2,NA,63.3333333333333,1.33333333333333,NA,4.33333333333334,0.333333333333333,NA,NA,38347.4051827671,38348.7385161004,15.4051827670628,0,64888.9023078463,19028.8677348067,64890.2356411797,19030.20106814,56.6843208831974,23.4986580164277,18.4407693848043,7.64467716259969,NA,NA,NA,NA,28.12906149091,0.0113046427298103,0.431748684908794,0.730565723556687,0.214251227097597,0.040188481700556,28.12906149091,0.0113046427298103
2020-03-16,176,2,NA,91.5,1.5,NA,28.1666666666667,0.166666666666667,NA,NA,38447.3722040863,38448.8722040863,100.133687985886,0,65008.6006421809,19078.391469697,65010.1006421809,19079.891469697,56.6843208831974,23.4986580164277,119.865001001228,49.6904015569089,NA,NA,NA,NA,28.12906149091,0.0734512975061073,0.432876038500486,0.731915221833589,0.214810665722045,0.261122460590594,28.12906149091,0.0734512975061073
2020-03-17,250,4,NA,123.2,2,NA,31.7,0.5,NA,NA,38559.5670410976,38561.5670410976,112.694837011339,0,65143.0019628344,19133.8152234018,65145.0019628344,19135.8152234018,56.6843208831974,23.4986580164277,134.901320653458,55.9237537048757,NA,NA,NA,NA,28.12906149091,0.0824503683417689,0.434144811595987,0.733434006284873,0.215440282446129,0.293114536965315,28.12906149091,0.0824503683417689
2020-03-18,397,7,NA,168.833333333333,2.83333333333333,NA,45.6333333333333,0.833333333333333,NA,NA,38720.962132442,38723.7954657754,162.228424677727,0,65336.3641163302,19213.4862211116,65339.1974496636,19216.3195544449,56.6843208831974,23.4986580164277,194.195486829216,80.5043310430847,NA,NA,NA,NA,28.12906149091,0.118345035577543,0.435971257829154,0.735620353197394,0.21634663922349,0.420721592918356,28.12906149091,0.118345035577543
2020-03-19,741,13,NA,250.571428571429,4.28571428571429,NA,81.7380952380952,1.45238095238095,NA,NA,39010.0921275298,39014.3778418156,290.582376040205,0,65682.7532809715,19356.2326132318,65687.0389952572,19360.5183275175,56.6843208831974,23.4986580164277,347.841545593605,144.198773072581,1.75438596491228,NA,0.0333210491083793,NA,28.12906149091,0.211095207186527,0.439242775056777,0.739536521907966,0.217970098900356,0.750452364913587,28.12906149091,0.211095207186527
2020-03-20,890,16,NA,370.714285714286,6.42857142857143,NA,120.142857142857,2.14285714285714,NA,NA,39284.5470432816,39441.4907662254,427.112924409805,150.515151515152,65936.4755647575,19491.8525606833,66198.3143925963,19572.4691020366,56.6843208831974,23.4986580164277,511.275397339137,211.950774519148,1.79775280898876,NA,0.0405664179755121,NA,28.12906149091,0.307978911585474,0.444051419370959,0.745292708133876,0.220356343447243,1.09487802031717,28.12906149091,0.307978911585474
2020-03-21,1327,22,NA,550.428571428571,9.42857142857143,NA,179.714285714286,3,NA,NA,39920.4389088078,40080.3826317516,638.891865526195,0,66698.2608796834,19805.8966443278,66963.0997075222,19889.5131856812,56.6843208831974,23.4986580164277,764.785314925859,317.044083644581,1.65787490580256,NA,0.0548896955454005,NA,28.12906149091,0.457468137576554,0.451244373648296,0.753903031882027,0.223925779404417,1.6263185237246,28.12906149091,0.457468137576554
2020-03-22,1914,29,NA,813.571428571429,13.2857142857143,NA,263.142857142857,3.85714285714286,NA,NA,40801.8940045018,41015.8665874743,935.483955722782,50.1717171717172,67729.0877717272,20241.5352990474,68082.9204945599,20353.7383065662,56.6843208831974,23.4986580164277,1119.82078703771,464.225120884988,1.51515151515152,NA,0.0707043454467842,NA,28.12906149091,0.659168246481375,0.461776505427989,0.766510517052212,0.22915225081389,2.34337091798954,28.12906149091,0.659168246481375
