"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,379,1,NA,379,1,NA,NA,NA,NA,NA,239501.164502165,239502.164502165,NA,NA,405310.355311355,118849.698174006,405311.355311355,118850.698174006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23114819185117,2.08348155544044,0.610945719264491,NA,NA,NA
2020-03-14,557,5,NA,468,3,NA,89,2,NA,NA,299650.67965368,299653.67965368,60151.5151515152,0,507103.227106227,148697.322234157,507106.227106227,148700.322234157,11.1307897217308,3.64556929689412,101794.871794872,29849.6240601504,NA,NA,NA,NA,5.52354978672355,0.0371605708828174,1.54035386967805,2.60675270253208,0.764386130817678,25.1153330617612,5.52354978672355,0.0371605708828174
2020-03-15,633,10,NA,523,5.33333333333333,NA,55,2.33333333333333,NA,NA,300632.49183633,300637.825169663,984.145515983633,0,508592.012528899,149183.361863642,508597.345862232,149188.695196976,11.2618847043733,3.68850567927545,1491.11875600537,488.372962818947,NA,NA,NA,NA,5.58860443976419,0.018354705573692,1.54541281757959,2.61441771952309,0.766896586167313,0.328430930682706,5.58860443976419,0.018354705573692
2020-03-16,961,21,NA,632.5,9.25,NA,109.5,3.91666666666667,NA,NA,302565.233553818,302574.483553818,1936.65838415461,0,511522.405467557,150140.493718436,511531.655467557,150149.743718436,11.3938055732743,3.73171255689224,2934.30960532482,961.048521460179,2.18522372528616,NA,0.00694043983925855,NA,5.65406893109852,0.0363725441815639,1.55536810743194,2.62950138263919,0.77183680519179,0.644194635225577,5.65406893109852,0.0363725441815639
2020-03-17,1407,35,NA,787.4,14.4,NA,154.9,5.15,NA,NA,305268.151241329,305282.55124133,2708.06768751156,0,515620.358571517,151479.1968566,515634.758571517,151493.5968566,11.5265571513023,3.77519150933606,4103.10310395993,1343.85313816363,2.48756218905473,NA,0.0114647888841613,NA,5.71994565402973,0.0509912986630444,1.56928878595199,2.65059316683211,0.778744811073919,0.895035974789176,5.71994565402973,0.0509912986630444
2020-03-18,2507,60,NA,1074,22,NA,286.6,7.6,NA,NA,310213.683985226,310235.683985226,4953.13274389663,0,523117.450728781,153929.542428759,523139.450728781,153951.542428759,11.6601442784687,3.81894412181309,7504.69215726404,2457.94557215925,2.39329876346231,NA,0.0193401349674711,NA,5.78623701036795,0.0931886254295961,1.59475010248883,2.68917063939492,0.791379750107237,1.62255142691939,5.78623701036795,0.0931886254295961
2020-03-19,4221,88,NA,1523.57142857143,31.4285714285714,NA,449.571428571429,9.42857142857143,NA,NA,317885.369749667,317916.798321096,7681.1143358699,0,534745.989782283,157731.794655581,534777.418353712,157763.22322701,11.7945718009149,3.86297198153723,11637.9676249303,3811.68079825121,2.08481402511253,NA,0.0276801982357409,NA,5.8529454049653,0.143004993693636,1.63423446391689,2.74899499558827,0.810973493372293,2.47607205368662,5.8529454049653,0.143004993693636
2020-03-20,7660,143,NA,2563.71428571429,51.7142857142857,NA,1040.14285714286,20.2857142857143,NA,NA,335284.332180003,335486.561617232,17569.7632961361,150.515151515152,561090.954236239,166356.150877724,561398.078778364,166482.053133363,11.9298445813804,3.90727668115866,26620.6604246519,8718.82990635323,1.8668407310705,NA,0.0426246581414946,NA,5.9200732509106,0.320187093187627,1.72455090159191,2.88583709058904,0.85579217672982,5.52707515604514,5.9200732509106,0.320187093187627
2020-03-21,10410,195,NA,3971.28571428571,78.8571428571429,NA,1407.57142857143,27.1428571428571,NA,NA,358464.176028995,358994.578626397,23508.017009165,301.030303030303,596170.940152795,177846.26458152,597016.028064883,178147.685634152,12.0659675202032,3.95185982564179,35617.9492865194,11665.6325007887,1.87319884726225,NA,0.0543183690255487,NA,5.98762297995047,0.4039649533144,1.84539261797055,3.06892927246011,0.915758742752301,7.01136759248994,5.98762297995047,0.4039649533144
2020-03-22,15191,249,NA,6051,113,NA,2079.71428571429,34.1428571428571,NA,NA,392422.501347075,393338.248821823,34343.6701954256,351.20202020202,647576.326599243,194681.740016844,649051.514633431,195190.409189777,12.2029456085844,3.99672304971069,52035.4865685485,17042.7235556247,1.63912843130801,NA,0.0633042936317118,NA,6.05559706892158,0.547888464007904,2.02193443566359,3.33641493520611,1.00336596055487,9.58078170484956,6.05559706892158,0.547888464007904
