"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,44,0,NA,44,0,NA,NA,NA,NA,NA,7012.98701298701,7012.98701298701,NA,NA,11868.1318681319,3480.12889366273,11868.1318681319,3480.12889366273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0241861491050643,0.0409304061778011,0.0120021491799567,NA,NA,NA
2020-03-14,60,0,NA,52,0,NA,8,0,NA,NA,8722.94372294372,8722.94372294372,1709.95670995671,0,14761.9047619048,4328.67883995704,14761.9047619048,4328.67883995704,6.9998804327447,2.05523219322281,2893.77289377289,848.549946294308,NA,NA,NA,NA,3.47362487639963,0.114074074074074,0.0300833891646325,0.0509103508939934,0.0149285991343289,24.3827160493827,3.47362487639963,0.114074074074074
2020-03-15,64,0,NA,56,0,NA,4,0,NA,NA,8824.85296220431,8824.85296220431,101.909239260589,0,14934.1453825985,4379.2503421465,14934.1453825985,4379.2503421465,7.90959300559057,2.32233255075838,172.240620693783,50.5715021894648,NA,NA,NA,NA,3.92506119074419,0.0458560794044665,0.0304348502540906,0.0515043684397744,0.0151030083967668,1.16828954189559,3.92506119074419,0.0458560794044665
2020-03-16,85,0,NA,63.25,0,NA,7.25,0,NA,NA,8990.69222778959,8990.69222778959,165.839265585279,0,15214.4365342847,4461.54651905348,15214.4365342847,4461.54651905348,8.80964374346904,2.58659610065683,280.291151686148,82.2961769069807,NA,NA,NA,NA,4.37170291029291,0.0821552752823208,0.0310067910259033,0.052471026951327,0.0153868286293956,1.87922978768651,4.37170291029291,0.0821552752823208
2020-03-17,111,2,NA,72.8,0.4,NA,9.55,0.4,NA,NA,9188.69030696143,9189.09030696143,198.398079171839,0,15549.3565557955,4559.59970119891,15549.7565557955,4559.99970119891,9.70004198126761,2.84802558373086,335.320021510821,98.4531821454248,NA,NA,NA,NA,4.81355466739596,0.106223753862886,0.0316910195174322,0.0536274671419555,0.015726370587598,2.20670526968551,4.81355466739596,0.106223753862886
2020-03-18,197,5,NA,93.5,1.16666666666667,NA,20.7,0.766666666666667,NA,NA,9582.16270823263,9583.32937489929,394.239067937864,0,16214.9080979197,4754.470466742,16216.0747645864,4755.63713340867,10.5807972258627,3.10662379129081,666.318208790872,195.637432209765,NA,NA,NA,NA,5.25062117975144,0.225286080409069,0.0330506576947922,0.0559254425295316,0.0164010782545585,4.29048161128235,5.25062117975144,0.225286080409069
2020-03-19,306,5,NA,123.857142857143,1.71428571428571,NA,30.3571428571429,0.547619047619047,NA,NA,10115.7985661383,10117.5128518525,534.183476953249,0,17117.2039727728,5019.00637761104,17118.9182584871,5020.72066332532,11.4519158797561,3.36239260317272,902.843493900687,265.083529916651,NA,NA,NA,NA,5.68290562454062,0.316828824904158,0.034892931350672,0.0590391382089307,0.0173152892416869,5.5747694254273,5.68290562454062,0.316828824904158
2020-03-20,429,7,NA,178.857142857143,2.71428571428571,NA,55,1,NA,NA,11014.9016253499,11017.6159110642,900.103059211666,0,18637.5018524533,5464.67406112961,18640.2161381676,5467.38834684389,12.3134048039348,3.61533403382837,1521.29787968054,446.667683518572,NA,NA,NA,NA,6.11041140646388,0.543750626703667,0.0379971759128968,0.0642857381645607,0.0188557414304601,8.89799310777778,6.11041140646388,0.543750626703667
2020-03-21,582,8,NA,253.428571428571,3.85714285714286,NA,74.5714285714286,1.14285714285714,NA,NA,12155.1915206002,12159.0486634573,1141.43275239311,0,20565.5372246728,6029.9564796104,20569.3943675299,6033.81362246754,13.1652720633491,3.86545045120471,1929.17822936231,566.425275623648,NA,NA,NA,NA,6.53314252767702,0.677081584307049,0.0419337100447381,0.0709390218822112,0.0208092094958851,10.3626232100538,6.53314252767702,0.677081584307049
2020-03-22,643,10,NA,336.142857142857,5.28571428571429,NA,82.7142857142858,1.42857142857143,NA,NA,13343.7077072988,13348.9934215845,1189.94475812717,0,22575.2788397574,6619.0268107111,22580.5645540431,6624.31252499682,14.0075257312075,4.11274422567334,2011.17018651321,590.498902529273,NA,NA,NA,NA,6.9511029944338,0.680577943195864,0.0460375507182709,0.0778750766498288,0.0228457018601946,9.78960106149292,6.9511029944338,0.680577943195864
