"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,1,0,0,1,0,0,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000172783490191945,0.000172783490191945,0.000172783490191945,NA,NA,NA
2020-03-14,2,0,0,1.5,0,0,0.5,0,0,NA,1.5,1.5,0.5,0,1.5,1.5,1.5,1.5,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,0.000259175235287918,0.000259175235287918,0.000259175235287918,NA,NA,NA
2020-03-15,3,0,0,2,0,0,0.5,0,0,NA,2,2,0.5,0,2,2,2,2,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,0.00034556698038389,0.00034556698038389,0.00034556698038389,NA,NA,NA
2020-03-16,3,0,0,2.25,0,0,0.25,0,0,NA,2.25,2.25,0.25,0,2.25,2.25,2.25,2.25,NA,NA,0.25,0.25,NA,NA,NA,NA,NA,NA,0.000388762852931877,0.000388762852931877,0.000388762852931877,NA,NA,NA
2020-03-17,10,0,0,3.8,0,0,1.55,0,0,NA,4.65,4.65,2.4,0,4.65,3.8,3.8,3.8,NA,NA,1.55,1.55,NA,NA,NA,NA,NA,NA,0.000803443229392545,0.000656577262729392,0.000656577262729392,NA,NA,NA
2020-03-18,15,0,0,5.66666666666667,0,0,1.86666666666667,0,0,NA,6.51666666666667,6.51666666666667,1.86666666666667,0,6.51666666666667,5.66666666666667,5.66666666666667,5.66666666666667,99,72.4728509056438,1.86666666666667,1.86666666666667,NA,NA,NA,NA,83.4464222350605,40.1433691756272,0.00112597241108418,0.000979106444421023,0.000979106444421023,40.1433691756272,83.4464222350605,40.1433691756272
2020-03-19,18,0,0,7.42857142857143,0,0,1.76190476190476,0,0,NA,8.62531492080841,8.62531492080841,2.10864825414174,0,8.62531492080841,7.44636844636845,8.09459864893994,7.44636844636845,99,72.5681268984765,2.42793198227327,1.77970177970178,NA,NA,NA,NA,83.5561245667257,27.0369017172086,0.00149031201602194,0.00139861300626685,0.00128660952941871,32.3577737208451,83.5561245667257,27.0369017172086
2020-03-20,19,0,0,10,0,0,2.57142857142857,0,0,2.15827338129496,13.4771399753033,13.4771399753033,4.85182505449485,0,13.6810691278665,11.5348725348725,13.6810691278665,11.5348725348725,99,72.532146464316,5.58647047892652,4.08850408850409,NA,NA,NA,NA,83.5146961081563,29.8068999604102,0.00232862728273828,0.00236386287347004,0.00199303553549449,56.2509902425697,83.5146961081563,29.8068999604102
2020-03-21,23,0,0,13,0,0,3,0,0,2.41657077100115,17.0771075614874,17.0771075614874,3.59996758618416,0,17.8261305056832,14.5651755651756,17.8261305056832,14.5651755651756,99,72.375285346924,4.14506137781673,3.03030303030303,NA,NA,NA,NA,83.3340836599003,22.2544029162599,0.00295064224685705,0.00308006104538905,0.00251662186940947,26.7116583546737,83.3340836599003,22.2544029162599
2020-03-22,24,0,0,16,0,0,3,0,0,2.31277533039647,20.6904481768696,20.6904481768696,3.6133406153822,0,21.9865898073718,17.5954785954786,21.9865898073718,17.5954785954786,99,72.1074233025763,4.16045930168859,3.03030303030303,NA,NA,NA,NA,83.0256629344277,17.5620163883839,0.0035749678496351,0.00379891972433634,0.00304020820332446,21.1589732182226,83.0256629344277,17.5620163883839
